chr	group1	ratio	group2
1	BX	0.090461547	F6
1	EH	0.108792214	F6
1	LA	0.193306456	F6
1	TB	0.147985603	F6
1	LW	0.134542838	F6
1	LD	0.109354575	F6
1	PT	0.110429413	F6
1	WD	0.105127355	F6
1	BX	0.156459105	F7
1	EH	0.093290743	F7
1	LA	0.19144363	F7
1	TB	0.105837334	F7
1	LW	0.118078755	F7
1	LD	0.115078692	F7
1	PT	0.112154256	F7
1	WD	0.107657485	F7
2	BX	0.116535691	F6
2	EH	0.106491947	F6
2	LA	0.081192051	F6
2	TB	0.126371417	F6
2	LW	0.166263991	F6
2	LD	0.150307459	F6
2	PT	0.117004042	F6
2	WD	0.135833402	F6
2	BX	0.110566272	F7
2	EH	0.127519624	F7
2	LA	0.108752658	F7
2	TB	0.114266364	F7
2	LW	0.123410486	F7
2	LD	0.117279908	F7
2	PT	0.142967115	F7
2	WD	0.155237572	F7
3	BX	0.16818788	F6
3	EH	0.111423866	F6
3	LA	0.103264643	F6
3	TB	0.11991494	F6
3	LW	0.085828386	F6
3	LD	0.172470326	F6
3	PT	0.095918678	F6
3	WD	0.142991283	F6
3	BX	0.109665735	F7
3	EH	0.111507159	F7
3	LA	0.087989372	F7
3	TB	0.133872997	F7
3	LW	0.110178626	F7
3	LD	0.164580525	F7
3	PT	0.137864358	F7
3	WD	0.144341228	F7
4	BX	0.148610349	F6
4	EH	0.107919166	F6
4	LA	0.108963671	F6
4	TB	0.145598701	F6
4	LW	0.081322456	F6
4	LD	0.141711451	F6
4	PT	0.153669382	F6
4	WD	0.112204824	F6
4	BX	0.115645949	F7
4	EH	0.119400492	F7
4	LA	0.106003594	F7
4	TB	0.132597231	F7
4	LW	0.096096712	F7
4	LD	0.14663931	F7
4	PT	0.180111451	F7
4	WD	0.103505261	F7
5	BX	0.129862898	F6
5	EH	0.137381446	F6
5	LA	0.12839022	F6
5	TB	0.102115762	F6
5	LW	0.137733841	F6
5	LD	0.163034683	F6
5	PT	0.119374385	F6
5	WD	0.082106765	F6
5	BX	0.121807686	F7
5	EH	0.121019963	F7
5	LA	0.114289723	F7
5	TB	0.09793522	F7
5	LW	0.154886616	F7
5	LD	0.183386082	F7
5	PT	0.135468442	F7
5	WD	0.071206269	F7
6	BX	0.138953439	F6
6	EH	0.105193619	F6
6	LA	0.124704622	F6
6	TB	0.123346231	F6
