	IPC002	IPC003	IPC005	IPC006	IPC007	IPC008	IPC010	IPC011	IPC013	IPC014	IPC015	IPC017	IPC018	IPC019	IPC021	IPC022	IPC023	IPC024	IPC025	IPC026	IPC027	IPC028	IPC029	IPC030	IPC031	IPC032	IPC034	IPC036	IPC038	IPC039	IPC040	IPC041	IPC042	IPC044	IPC046	IPC047	IPC048	IPC049	IPC050	IPC051	IPC052	IPC055	IPC056	IPC058	IPC059	IPC060	IPC061	IPC063	IPC064	IPC065	IPC066	IPC067	IPC068	IPC069	IPC070	IPC071	IPC074	IPC075	IPC076	IPC078	IPC080	IPC082	IPC083	IPC084	IPC085	IPC086	IPC088	IPC090	IPC091	IPC092	IPC093	IPC096	IPC097	IPC098	IPC099	IPC100	IPC101	IPC102	IPC103	IPC104	IPC105	IPC106	IPC107	IPC108	IPC109	IPC110	IPC111	IPC113	IPC114	IPC115	IPC116	IPC117	IPC119	IPC120	IPC121	IPC124	IPC125	IPC126	IPC127	IPC128	IPC129	IPC130	IPC131	IPC132	IPC133	IPC134	IPC135	IPC136	IPC137	IPC139	IPC140	IPC141	IPC142	IPC143	IPC144	IPC145	IPC146	IPC147	IPC148	IPC149	IPC151	IPC152	IPC153	IPC154	IPC155	IPC156	IPC157	IPC158	IPC159	IPC160	IPC161	IPC163	IPC165	IPC166	IPC167	IPC168	IPC169	IPC170	IPC171	IPC172	IPC173	IPC174	IPC175	IPC176	IPC177	IPC178	IPC181	IPC182	IPC184	IPC185	IPC186	IPC188	IPC189	IPC190	IPC191	IPC192	IPC193	IPC194	IPC195	IPC196	IPC197	IPC199	IPC200	IPC202	IPC203	IPC204	IPC205	IPC207	IPC209	IPC210	IPC212	IPC213	IPC214	IPC215	IPC216	IPC217	IPC218	IPC220	IPC221	IPC223	IPC224	IPC226	IPC227	IPC229	IPC230	IPC231	IPC232	IPC233	IPC234	IPC235	IPC239	IPC241	IPC250	IPC252	IPC253	IPC254	IPC257	IPC259	IPC261	IPC268	IPC272	IPC275	IPC276	IPC281	IPC283	IPC285	IPC288	IPC289	IPC292	IPC293	IPC297	IPC298	IPC300	IPC304	IPC305	IPC306	IPC307	IPC309	IPC312	IPC313	IPC314	IPC315	IPC317	IPC319	IPC321	IPC322	IPC323	IPC324	IPC325	IPC326	IPC327	IPC329	IPC331	IPC332	IPC334	IPC335	IPC337	IPC338	IPC339	IPC341	IPC342	IPC344	IPC348	IPC350	IPC352	IPC353	IPC358	IPC359	IPC360	IPC361	IPC366	IPC368	IPC370	IPC371	IPC372	IPC375	IPC376	IPC377	IPC378	IPC379	IPC380	IPC381	IPC383	IPC385	IPC386	IPC387	IPC390	IPC392	IPC393	IPC395	IPC398	IPC399	IPC408	IPC409	IPC410	IPC411	IPC413	IPC414	IPC417	IPC421	IPC423	IPC424	IPC427	IPC429	IPC434
00248659a289e32c167209b86becf789	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11.7	0	0	0	0	0	0	0	0	0	0	0	0	53.7	0	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	3.5	10	0	0	0	0.7	5	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	56	0	0	0	0	10.5	1	0	0	4.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3.5	0	0	0	0.7	0	0	0	0	8.3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0.7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	53.5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
0041fa206861a6100173092f0e49fffb	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
008249501790b88fad4949e5869cd244	0	0	179.5	0	0	43	0	8	0	0	0	0	0	0	5	0	0	0	35	0	0	0	0	0	0	0	0	0	0	14	0	0	14	0	0	0	69.3	0	5.3	0	0	0	0	0	0	0	45	0	0	0	0	1.5	0	4.5	0	16	0	14.7	0	44	0	0	0	137.3	0	0	19.5	30	0	0	0	68	10.5	0	3	2.3	0	0	0	0	11	0	0	0	0	0	8	39.7	0	0	138	11	35.5	0	0	6	0	0	15	0	38	0	0	0	0	0	0	0	63	0	9	0	0	0	18	0	25.7	0	69	0	0	1.5	0	0	47.5	0	0	17	4	15.5	0	0	0	2	3	0	0	0	0	0	18.5	0	0	0	0	22	0	0	0	15	0	0	0	0	0	0	69	0	6.5	0	39	0	0	0	0	0	0	0	0	0	0	32.7	108	11.5	10	0	20.3	0	0	0	0	11	0	0	0	16	0	35.5	0	11	0	0	0	15	20.5	0	0	9	0	0	0	0	0	0	0	0	84.5	3.3	6	0	0	0	0	29.3	0	0	18	16.5	0	0	0	37	10	14	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1.7	0	0	14	1	35.7	0	0	8.3	27	6	0	0	20	0	8	3.5	11.3	13	0	20	0	0	0	0	321.5	0	0	0	0	3.5	41	85	0	0	0	0	0	0	0	0	0	0	0	0
00b2abe09ca7c756b299acbb80bb959d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00b342b7b756a6431fa3b0504579eda6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00bef509ead93012523cee9e4f2f6458	1020	0	39	0	6.5	14	0	0	50	0	0	123	0	0	14	0	139	0	0	0	0	0	0	0	113.3	712	36	1560	274	103	184	8	0	1.3	0	0	0	0	0	52	0	0	0	0	0	115	63	559.5	0	8.5	375	225.5	5.3	0	0	0	0	0.7	0	1	0	0	0	0	35	0	1140	0	0	615	0	7	0	0	3.5	422.7	16.3	0	1	0	415	131	0	0	0	216.3	0	29.3	0	0	0	7.5	0	0	463	14	0	1020	23	0	0	30	0	0	0	0	0	0	861	0	0	1092	0	0	0	42	0	0	0	0	5	0	6	0	0	0	0	0	284.5	0	63	6	0	0	0	0	0	731	0	0	297.5	2.5	4	0	0	0	0	34	0	563	0	0	0	0	0	103	0	0	0	16	174	71.5	0	54	0	67	0	0	0	8.7	0	809.7	0	0	31	0	247.7	776	1	0	0	0	0	820.5	21.5	5	1	0	466	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7.5	3	127.5	4	23	0	0	0	0	0	0	47.5	42	0	0	113	3	10	3.5	0	0	40	116.5	9	1635	0	182.3	2642	29	0	0	0	0	0	879.7	3.5	0	20.3	47	0	0	0	0	0	0	0	0	1.5	0	14.5	107.5	0	11.5	0	0	10.3	68	0	0	0	0	423	423	0	28	0	0	0	0	0	0	31	0	44.5	0	0	0	0	0
00cfa8b1257c4860ed5b954717c55683	0	0	4	0	0	0	0	0	0	0	0	0	0	0.3	4	0	5.3	0	7	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3.5	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	68	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	2.5	0	0	10	0	0	0	2.3	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0
01099a5064fafb0e4970047745b712b5	0	0	0	0	75.5	0	0	0	1	0	0	2.7	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	1	2.5	0	4	2	0	0	0	0	3.3	0	2.3	0	0	1	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0.7	0	0	0	0	0	0	13.5	1	1	0	0	0	11	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	4	8.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	4.5	0	0	0	0	0	0	6	0	0	0	0	36	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	1	0	0	0.3	0	0	1.3	10	0	0	0	0	0	0	0	2.5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	11	0	0	0	0	0	0	8	4	0
022219fe95a61932202d303d3a9a71fb	195	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	9	0	36.5	0	82	0	0	0	0	0	0	0	0	0	0	0	0	4.7	2.5	0	0	0	25.5	0	0	0	0	0	0	18	0	0	0	48	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	17.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	43	63	4	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
025c261081d441972c5baffb1b7197c7	633	130	0	0	0	0	0	131	0	0	0	377.7	0	0	0	319.7	24.7	2.5	0	0	0	0	0	482.3	0	294.5	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	14.5	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	28	0	0	0	534.5	94	0	0	0	0	0	0	0	177.7	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	120	0	0	327.5	0	0	0	0	0	0	0	0	170.5	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	767	0	0	0	0	671.3	0	0	0	635	0	0	0	0	0	0	0	0	0	12	0	0	0	62	0	0	391.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	72
