	IPC001	IPC002	IPC003	IPC005	IPC006	IPC007	IPC008	IPC010	IPC011	IPC013	IPC014	IPC015	IPC017	IPC018	IPC019	IPC021	IPC022	IPC023	IPC024	IPC025	IPC026	IPC027	IPC028	IPC029	IPC030	IPC031	IPC032	IPC033	IPC034	IPC035	IPC036	IPC037	IPC038	IPC039	IPC040	IPC041	IPC042	IPC044	IPC045	IPC046	IPC047	IPC048	IPC049	IPC050	IPC051	IPC052	IPC055	IPC056	IPC058	IPC059	IPC060	IPC061	IPC063	IPC064	IPC065	IPC066	IPC067	IPC068	IPC069	IPC070	IPC071	IPC073	IPC074	IPC075	IPC076	IPC077	IPC078	IPC079	IPC080	IPC082	IPC083	IPC084	IPC085	IPC086	IPC087	IPC088	IPC090	IPC091	IPC092	IPC093	IPC095	IPC096	IPC097	IPC098	IPC099	IPC100	IPC101	IPC102	IPC103	IPC104	IPC105	IPC106	IPC107	IPC108	IPC109	IPC110	IPC111	IPC113	IPC114	IPC115	IPC116	IPC117	IPC119	IPC120	IPC121	IPC124	IPC125	IPC126	IPC127	IPC128	IPC129	IPC130	IPC131	IPC132	IPC133	IPC134	IPC135	IPC136	IPC137	IPC139	IPC140	IPC141	IPC142	IPC143	IPC144	IPC145	IPC146	IPC147	IPC148	IPC149	IPC150	IPC151	IPC152	IPC153	IPC154	IPC155	IPC156	IPC157	IPC158	IPC159	IPC160	IPC162	IPC163	IPC165	IPC166	IPC167	IPC168	IPC169	IPC170	IPC171	IPC172	IPC173	IPC174	IPC175	IPC176	IPC177	IPC178	IPC180	IPC181	IPC182	IPC183	IPC184	IPC185	IPC186	IPC188	IPC189	IPC190	IPC191	IPC192	IPC193	IPC194	IPC195	IPC196	IPC197	IPC199	IPC200	IPC202	IPC203	IPC204	IPC205	IPC206	IPC207	IPC209	IPC210	IPC212	IPC213	IPC214	IPC215	IPC216	IPC217	IPC218	IPC220	IPC221	IPC224	IPC225	IPC226	IPC227	IPC228	IPC229	IPC230	IPC231	IPC232	IPC233	IPC234	IPC235	IPC238	IPC239	IPC241	IPC250	IPC253	IPC254	IPC257	IPC259	IPC261	IPC262	IPC263	IPC268	IPC269	IPC272	IPC275	IPC276	IPC281	IPC283	IPC285	IPC288	IPC289	IPC292	IPC293	IPC297	IPC298	IPC300	IPC301	IPC304	IPC305	IPC306	IPC307	IPC309	IPC312	IPC313	IPC314	IPC315	IPC317	IPC319	IPC321	IPC322	IPC323	IPC324	IPC325	IPC326	IPC327	IPC329	IPC331	IPC332	IPC334	IPC335	IPC337	IPC338	IPC339	IPC341	IPC342	IPC343	IPC344	IPC348	IPC350	IPC352	IPC353	IPC358	IPC359	IPC360	IPC361	IPC366	IPC368	IPC370	IPC371	IPC372	IPC373	IPC375	IPC376	IPC377	IPC378	IPC379	IPC380	IPC381	IPC383	IPC385	IPC386	IPC387	IPC389	IPC390	IPC392	IPC393	IPC395	IPC398	IPC399	IPC401	IPC403	IPC404	IPC408	IPC409	IPC410	IPC411	IPC413	IPC414	IPC417	IPC419	IPC421	IPC424	IPC426	IPC427	IPC429	IPC430	IPC434
008ff7905b1e14944baf56bed30e287c	0	0	0	0	0	0	0	0	0	0	11.3	0	0	0	6.7	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	14.5	0	0	17.3	0	20.7	0	0	0	2	0	4	6	0	0	20.5	13.5	19.3	0	0	0	0	0	0	17	0	1	9	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	14	10.7	0	0	12.3	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0	0	12	0	0	15	0	0	0	0	0	0	9.5	0	3.3	10.7	0	0	0	0	5	0	0	0	2	0	0	11	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	10.3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	3.5	0	13	10.5	0	0	0	24.5	0	0	0	0	0	0	0	0	0	0	0	0	10.3	0	0	22	5	0	0	0	0	12	0	13.7	0	0	32.5	5	0	0	0	0	0	0	0	0	0	0	0	0	15	9.5	0	20.5	0	0	0	0	0	0	0	0	0	13.7	0	0	0	1.7	0	0	0	0	9	8	0	0	0	0	0	0	5	0	0	9.5	0	0	0	0	0	0	0	0	19.5	8	0	0	0	0	12	0	0	0
00a5a1146236d94ee1211d7ce06a0992	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104267ee6c6dc10388bfc05e5aece17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7	0	0	0	8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0152e6080f2f00f1a3a6bcb9d60e1271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
016ee54a98782a6ff13c8a9ec2815e2f	0	84	228.3	61.5	144	82	47.3	19	45.7	62	77.7	962	193.5	81	81	7.3	19.7	96	286.5	37	0	113	318	226	35	567.3	48.5	59	17	18	494.5	5	362	5	6	3	312	376.5	107.5	103.5	63.7	379.7	151.7	44.3	121.7	97.3	5	422	63	121	633.5	464	278	23	214.7	85.7	135.5	143	64.3	97	124.5	115	164	158.5	199.3	92.5	6.7	190	58	33.3	33.5	91.3	66.5	341	300	102	46.5	2060.3	365	21	106	41.5	124.3	55.7	135	122	92.7	56	125	26	197	76	70.5	61	89	293.7	183	33	67	62	28.5	4	54	104.5	75.5	145.5	964	306	26.3	66	69	33.5	381.3	186	312	132.5	71.3	1.5	208	276	210.5	0	133	14.3	23.5	0	1	0	200.5	312	100	38.5	213	49	138	49.5	25	699	297	2	102	722	70.5	7	47	2.5	123	62.5	65	494.7	49.7	45	195	465.5	30.5	9	190.5	180.3	21.5	131	116.5	86	129	0	0	0	323	16	3	26.5	21	66	27.5	663	793.7	455	80.5	0	101.3	0	22	308	68	316.3	164	66.7	16	8.3	101	177	79.7	611	143	0.5	353	149.5	144	132	156	306.5	68	100	467	21	3.5	89.5	1341	144	348.5	1.5	50	112.7	25	8	65	127.5	64.7	325	0	27	289	568.7	11	23.5	0.3	39.3	91.5	36.7	76.7	197	30.3	284.3	72.7	53	1.3	29	62	380	4.5	1522.5	204	226	130	4.3	146	45	219.5	51	22	339.5	2913.5	428	322	22	227.3	117.5	231	43	151.5	184	48	22.5	114.3	86.5	55	79	368.7	105	52	2.5	13.3	260	33	35.7	20.5	15	108	269.7	99	43	158.5	15.5	328	247	1282.5	66	56	164.5	36	157	20	33	612	21.5	364	236	12	73.5	311	31	443	66.5	11.5	9	1248	278.5	38	627	102	0.5	75	155
019657dc5746335da3fb41ae117eb626	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0.3	0	0	0	24.7	11.5	0	3.5	0	0	0	3	0	0	0	0	0	0	0	0	0.7	0	0	0	0	1	0	0	1	0	0	6	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3	0	0	3	0	0	0	0	0	0	0	1.7	0	0	6	5.3	0	0	0	0	5.5	0	0	0	2.3	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	10	0	0	0	0	0.7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12.3	0	0.7	0	0	0	1	0	0	0	2.3	0	0	0	0	4	2.3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2.3	0	0	13.5	1.3	0	0	0	0	2.3	0	0	0	0	0	1	0	0	0	0	0	0	0.7	0	0	0.3	0	0	0	1	0.7	0	0	0	0	0	8.5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
01c27ed2c935bb2bd9c95bd91a2949f7	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	2	0	0	0	0	0	0	1.5	1.7	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.3	0	0	0	4.5	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.7	1.3	0	0	0	0	0	0	0	0	0	0.3	0.5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	5.5	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	3.3	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
025ba390561d80f761ddf08f013fe32e	0	0	157.3	16.5	70	16.5	16.7	73	0	9	78.7	0	6.5	0	0	2.7	23	5	0	4	244	0	0	221.3	19	19.7	0	17	78	0	0	0	0	0	0	23	33	0	2.5	15.5	0	3	0	129.3	0	12.3	0	0	0	0	20.5	0	0	0	34.7	4	9	0	7	0	183	0	0	0.5	8.7	366.5	5.7	0	0	23.3	5.5	0.3	0	56.5	0	1	0	0	21	24	0	48	3.3	79.3	14.5	15.3	0	12	1.3	304	0	22	167.5	0	9	0	69	0	79.5	66	0	180.5	16.5	13	141.5	23	38	33.3	6.3	130.5	0	0	436	31.3	0	0	25.7	0	4.5	41.5	229.5	0	151	8.7	0	0	7.7	260	0	0	35	24	29	0	23.5	5	1	8	0	20.5	39	78	15.5	59	7.5	12.5	62	9.5	0	0	22.7	0	0	0	32.5	0	0	45.7	0	275	9	1263	1.5	0	0	0.5	0	84.5	17	0	0.3	172.3	79	2	48.7	100.5	0	0	30.3	0	82	0	0	0	3	0	51	44.7	95.5	65	13.3	0.5	20	30.5	184.5	139	0	0	24.3	0	2	0.5	1.3	0	5.5	0	0	95.5	28.5	10.5	95.7	0	64	3.7	0	0	0	0	241	117.5	0	0	0	59	23	0.3	6.5	0	0	259.5	1.3	2	73	0	0	0	0	0	89	0	75.7	0	0	8.3	6.5	2.5	0	9.5	0	0	0.5	0	4	16	0	0	0	340	0	3.5	0	1.5	22.7	61.5	0	0.3	16.3	1879	0	0	0	0	8.7	0	0	0	6.5	0.7	192	9.5	0	20	0	0	0	1.5	1.5	16	0	0	12	0	2.5	1.5	0	0	82	0	17	70	13	16	104	0	0	0	0	0	0	18.5	0	100
02d507c6cb13d05a135a5d9aca1594fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1.3	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03569dcf1388d2d3fa85153931cd4d08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	17.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	49	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0
