Taxon	Level	Annot	Sample_type	F6_her	F6_abund	F6_pnull	F7_her	F7_abund	F7_pnull
Acidobacteria	Phylum	NA	D25	0	0.305	39.51	NA	NA	NA
Acidobacteria	Phylum	NA	D120	0	0.008	77.26	NA	NA	NA
Acidobacteria	Phylum	NA	D240	0.0315	0.064	36.02	NA	NA	NA
Acidobacteria	Phylum	NA	IC	0	0.115	54.17	NA	NA	NA
Acidobacteria;Acidobacteria-6	Class	NA	D25	0	0.161	46.91	NA	NA	NA
Acidobacteria;Acidobacteria-6	Class	NA	D240	0.0297	0.028	45.34	NA	NA	NA
Acidobacteria;Acidobacteria-6	Class	NA	IC	0	0.08	57.29	NA	NA	NA
Acidobacteria;Acidobacteria-6;CCU21	Order	NA	IC	0	0.019	76.74	NA	NA	NA
Acidobacteria;Acidobacteria-6;iii1-15	Order	NA	D25	0	0.16	46.91	NA	NA	NA
Acidobacteria;Acidobacteria-6;iii1-15	Order	NA	D240	0.0215	0.026	46.29	NA	NA	NA
Acidobacteria;Acidobacteria-6;iii1-15	Order	NA	IC	0	0.059	58.68	NA	NA	NA
Acidobacteria;Acidobacteria-6;iii1-15;mb2424	Family	NA	D25	0	0.025	61.73	NA	NA	NA
Acidobacteria;Acidobacteria-6;iii1-15;mb2424	Family	NA	D240	0.0407	0.003	74.88	NA	NA	NA
Acidobacteria;Acidobacteria-6;iii1-15;mb2424	Family	NA	IC	0	0.012	73.26	NA	NA	NA
Acidobacteria;Acidobacteria-6;iii1-15;RB40	Family	NA	D25	0	0.01	76.54	NA	NA	NA
Acidobacteria;Chloracidobacteria	Class	NA	D25	0	0.126	50.62	NA	NA	NA
Acidobacteria;Chloracidobacteria	Class	NA	D240	0	0.018	51.03	NA	NA	NA
Acidobacteria;Chloracidobacteria	Class	NA	IC	0	0.01	71.88	NA	NA	NA
Acidobacteria;Chloracidobacteria;RB41	Order	NA	D25	0	0.119	51.85	NA	NA	NA
Acidobacteria;Chloracidobacteria;RB41	Order	NA	D240	0	0.014	54.19	NA	NA	NA
Acidobacteria;Chloracidobacteria;RB41	Order	NA	IC	0	0.009	72.22	NA	NA	NA
Acidobacteria;Chloracidobacteria;RB41;Ellin6075	Family	NA	D25	0	0.03	67.9	NA	NA	NA
Acidobacteria;Chloracidobacteria;RB41;Ellin6075	Family	NA	D240	0	0.009	61.3	NA	NA	NA
Acidobacteria;Chloracidobacteria;RB41;Ellin6075	Family	NA	IC	0	0.006	78.47	NA	NA	NA
Acidobacteria;Holophagae	Class	NA	D240	0.0175	0.004	74.72	NA	NA	NA
Acidobacteria;Holophagae;Holophagales	Order	NA	D240	0.0175	0.004	74.72	NA	NA	NA
Acidobacteria;Holophagae;Holophagales;Holophagaceae	Family	NA	D240	0.0175	0.004	74.72	NA	NA	NA
Acidobacteria;iii1-8	Class	NA	D240	0.0608	0.005	69.67	NA	NA	NA
Acidobacteria;iii1-8;32-20	Order	NA	D240	0.0356	0.004	72.2	NA	NA	NA
Acidobacteria;Solibacteres	Class	NA	D25	0	0.009	79.01	NA	NA	NA
Acidobacteria;Solibacteres	Class	NA	D240	0.0834	0.007	65.09	NA	NA	NA
Acidobacteria;Solibacteres;Solibacterales	Order	NA	D25	0	0.009	79.01	NA	NA	NA
Acidobacteria;Solibacteres;Solibacterales	Order	NA	D240	0.0834	0.007	65.09	NA	NA	NA
Actinobacteria	Phylum	NA	D25	0.0785	0.861	0	0.2375	1.553	0.43
Actinobacteria	Phylum	NA	D120	0	0.373	0	0.1675	0.217	0
Actinobacteria	Phylum	NA	D240	0.0899	0.488	0	0.0494	0.279	0
Actinobacteria	Phylum	NA	CC	0	0.237	0	0	0.08	1.1
Actinobacteria	Phylum	NA	IC	0	4.781	1.04	0.0793	0.232	3.43
Actinobacteria;Acidimicrobiia	Class	NA	D25	0	0.019	71.6	NA	NA	NA
Actinobacteria;Acidimicrobiia	Class	NA	D240	0.011	0.003	75.2	NA	NA	NA
Actinobacteria;Acidimicrobiia	Class	NA	IC	0	0.01	74.31	NA	NA	NA
Actinobacteria;Acidimicrobiia;Acidimicrobiales	Order	NA	D25	0	0.019	71.6	NA	NA	NA
Actinobacteria;Acidimicrobiia;Acidimicrobiales	Order	NA	D240	0.011	0.003	75.2	NA	NA	NA
Actinobacteria;Acidimicrobiia;Acidimicrobiales	Order	NA	IC	0	0.01	74.31	NA	NA	NA
Actinobacteria;Acidimicrobiia;Acidimicrobiales;C111	Family	NA	D25	0	0.01	74.07	NA	NA	NA
Actinobacteria;Actinobacteria	Class	NA	D25	0.1063	0.232	2.47	0.1632	0.164	4.74
Actinobacteria;Actinobacteria	Class	NA	D120	0.0518	0.106	6.32	0.091	0.02	30.37
Actinobacteria;Actinobacteria	Class	NA	D240	0.0084	0.205	5.37	0.0518	0.02	30.93
Actinobacteria;Actinobacteria	Class	NA	CC	0	0.128	2.4	0.0963	0.014	38.15
Actinobacteria;Actinobacteria	Class	NA	IC	0	4.74	1.39	0.0395	0.21	5.64
Actinobacteria;Actinobacteria;Actinomycetales	Order	NA	D25	0	0.2	3.7	0.0421	0.143	5.6
Actinobacteria;Actinobacteria;Actinomycetales	Order	NA	D120	0.1127	0.099	7.79	0.0581	0.02	32.1
Actinobacteria;Actinobacteria;Actinomycetales	Order	NA	D240	0	0.19	6.48	0.0367	0.018	32.47
Actinobacteria;Actinobacteria;Actinomycetales	Order	NA	CC	0	0.126	2.4	0.0988	0.014	38.93
Actinobacteria;Actinobacteria;Actinomycetales	Order	NA	IC	0	4.725	1.39	0.0433	0.193	8.58
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	Family	NA	D25	0	0.01	41.98	0	0.018	37.93
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	Family	NA	IC	0.0226	0.012	58.68	0.0464	0.003	79.17
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	Genus	NA	D25	0	0.009	46.91	0	0.015	45.69
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	Genus	NA	IC	0	0.004	77.78	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_hyovaginalis	Species	NA	D25	0	0.005	77.78	0	0.009	68.53
Actinobacteria;Actinobacteria;Actinomycetales;Actinopolysporaceae	Family	NA	IC	0	0.015	77.08	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae	Family	NA	CC	0.1519	0.009	54.11	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae	Family	NA	IC	0.0596	0.08	28.47	0.0356	0.042	67.16
Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium	Genus	NA	CC	0.1519	0.009	54.11	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium	Genus	NA	IC	0.0596	0.08	28.47	0.0356	0.042	67.16
Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium;Brevibacterium_aureum	Species	NA	CC	0	0.005	66.1	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium;Brevibacterium_aureum	Species	NA	IC	0.009	0.053	33.68	0.06	0.04	72.79
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Family	NA	D25	0	0.026	20.99	0.0797	0.091	15.09
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Family	NA	D120	0.0386	0.079	13.89	0	0.013	43.46
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Family	NA	D240	0.0955	0.012	37.6	0	0.015	42.1
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Family	NA	CC	0	0.049	20.55	0.0853	0.008	54.32
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Family	NA	IC	0.0299	0.324	10.76	0.1327	0.077	26.23
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	Genus	NA	D25	0	0.026	20.99	0.0797	0.091	15.09
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	Genus	NA	D120	0.0386	0.079	13.89	0	0.013	43.46
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	Genus	NA	D240	0.0955	0.012	37.6	0	0.015	42.1
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	Genus	NA	CC	0	0.049	20.55	0.0853	0.008	54.32
