name	F6F7_qtl	F6F7_h2
Otu1139	0	0.39717936
Otu21538	0	0.358246325
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae	0	0.308025341
Otu1292	0	0.302776384
Otu6942	0	0.299208716
Otu17057	0	0.295937637
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Oribacterium	0	0.295937637
Otu7007	0	0.291771818
Otu163	0	0.291661259
Otu78	0	0.289127987
Otu682	0	0.271227504
Otu7485	0	0.269604985
Otu7011	0	0.268846738
Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales	0	0.261650442
Bacteria.Proteobacteria.Epsilonproteobacteria	0	0.261650442
Otu7019	0.5	0.261282967
Otu6995	0	0.260822955
Otu507	0	0.260636682
Otu624	0	0.259465022
Otu1163	0	0.258928498
Otu9142	0	0.255922689
Otu20944	0	0.254454618
Otu7767	0	0.25249467
Otu7009	0	0.250859406
Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Anaerovibrio	0.5	0.249436507
Otu15704	0	0.248802815
Otu15868	0	0.241609192
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia	0	0.240075716
Otu659	0	0.236978904
Otu28434	0	0.236589925
Otu108	0	0.234653397
Otu253	0	0.234130149
Otu21157	0	0.233820206
Otu7134	0	0.233032404
Otu28970	0	0.232190882
Otu719	0	0.230506652
Otu1259	0	0.228652293
Otu26894	0	0.228601477
Otu11086	0	0.22722516
Otu15788	0	0.22622834
Otu7575	0	0.224574866
Otu616	0	0.224320576
Otu18620	0	0.222079917
Otu7838	2.5	0.221734563
Otu1399	0	0.220903735
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae	0	0.220634096
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides	1.5	0.220408281
Otu7909	0	0.219319284
Otu17092	0	0.219052941
Otu8671	0	0.21900903
Otu504	0	0.216964841
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea	0	0.215333796
Otu1430	0	0.21444177
Otu525	0.5	0.214430109
Otu691	0	0.20856426
Otu16072	0	0.20778822
Otu693	0	0.20725801
Otu747	0	0.203308237
Otu9950	0	0.202197617
Otu16351	0	0.201974124
Otu7856	0	0.201603236
Otu1051	0	0.199446053
Otu15708	0	0.199212012
Otu7124	0	0.198991213
Otu24907	0	0.198955886
Otu29599	0	0.198488529
Otu6989	0	0.198320273
Otu633	0	0.197460564
Otu2116	0	0.196660802
Otu9639	0	0.196626778
Otu21488	0	0.196237093
Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae	0	0.195912668
Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales	0	0.195912668
Bacteria.Firmicutes.Erysipelotrichi	0	0.195912668
Otu16016	0	0.195576143
Otu1149	0	0.195349479
Otu11259	0.5	0.195082094
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia	0.5	0.194903998
Otu21520	0	0.194827361
Otu3639	0	0.1942643
Otu9222	0.5	0.193178053
Otu2920	0	0.193035053
Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter	0.5	0.192779617
Otu11022	0	0.192413894
Otu666	0	0.191551966
Otu750	0	0.191010119
Otu15920	0	0.190649957
Otu508	0	0.190272903
Otu12664	0	0.190226667
Otu1750	0	0.190058623
Otu858	0	0.188885149
Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae	0	0.188788209
Otu6896	0.5	0.186957408
Otu7751	0	0.186581355
Otu794	0	0.186199299
Otu1311	0	0.184465211
Otu7377	0	0.184409743
Otu1162	0	0.183699725
Otu28536	0	0.183642861
Otu8733	0	0.183177534
Otu7752	0	0.183040668
Otu7462	0	0.182839761
Otu29402	0	0.181954185
Otu519	0	0.181650666
Otu8666	0	0.181618798
Otu1601	0	0.181454277
Otu11005	0	0.180197348
Otu683	0	0.179818945
Otu14516	0	0.179360931
Otu684	0.5	0.179354877
Otu7208	0	0.178718393
Otu38	0	0.17856848
Otu7750	0	0.178442354
Otu27502	0	0.178314172
Otu3250	0	0.178007471
Otu7115	0	0.177730484
Otu113	0.5	0.177629942
Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Eubacterium.Eubacterium_biforme	0	0.177629942
Otu1287	0	0.177133524
Otu1116	0	0.176325848
Otu21415	0	0.176122207
Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Eubacterium	0	0.176121973
Otu16010	0	0.176085615
Otu126	1.5	0.176027951
Otu1047	0	0.175783871
Bacteria.Proteobacteria.Betaproteobacteria.Tremblayales	0	0.175474065
Otu4	0	0.175289829
Otu7403	0	0.173817156
Otu1186	1	0.173190671
Otu424	0	0.172383862
Otu833	0	0.172026493
Otu19661	0.5	0.171635416
Otu7004	0	0.171287218
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.BS11	0	0.170951517
Otu7017	1	0.170806738
Otu19863	0	0.170500928
Otu3364	0	0.170052906
Otu7743	0.5	0.169596792
Otu10901	0	0.169518071
Otu117	1.5	0.169470339
Otu28888	0	0.169327918
Otu9536	0	0.169183811
Otu2035	0	0.169063607
Otu7046	0	0.168503074
Otu1531	0	0.168007676
Bacteria.Proteobacteria.Deltaproteobacteria	0	0.16784539
Otu19668	0.5	0.167768909
Otu6988	0	0.167334807
Otu19696	0	0.167152081
Otu14701	0	0.166622103
Otu7006	0	0.165432633
Otu11653	0.5	0.165095649
Otu109	0	0.164890758
Otu1228	0	0.164218816
Otu1107	0	0.164209235
Otu26337	0.5	0.164195461
Otu15681	1	0.164169609
Otu26414	0	0.163998681
Bacteria.Spirochaetes.Spirochaetes.Spirochaetales.Spirochaetaceae.Treponema	0	0.163876676
Bacteria.Spirochaetes.Spirochaetes.Spirochaetales	0	0.163634699
Bacteria.Spirochaetes.Spirochaetes.Spirochaetales.Spirochaetaceae	0	0.163634699
Otu29381	0	0.162975676
Otu2869	0	0.162668089
Otu603	0	0.162113869
Otu1874	0	0.161919224
Otu7281	0	0.161911341
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae	0	0.161814658
Otu137	0	0.161477034
Otu714	0	0.160854147
Otu7206	0	0.160776201
Otu5919	0	0.160693535
Otu10599	0	0.160457162
Otu7015	0	0.160132522
Otu6994	0.5	0.160026308
Otu1452	0	0.1593708
Otu21454	0	0.159364094
Otu15870	0	0.15891184
Otu8224	0	0.158682588
Otu15736	0	0.158619472
Otu6890	0	0.158608964
Otu7809	0	0.158385217
Otu320	0	0.157828054
Otu21489	0	0.157081593
Otu224	0	0.156313858
Otu24200	0	0.155908877
Otu1178	0	0.1556851
Otu22226	0	0.155159213
Otu63	0	0.154674737
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.Prevotella_stercorea	0	0.154307795
Otu1136	0.5	0.154100461
Otu7763	0	0.153496001
Otu14184	0	0.153248147
Otu29284	0	0.153231065
Otu15934	0	0.153023887
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales	0	0.152111613
Bacteria.Bacteroidetes.Bacteroidia	0	0.152111613
Otu28710	0	0.151992037
Otu29859	0	0.151570752
Bacteria.Bacteroidetes	0	0.150997707
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus	0	0.150859228
Otu231	0.5	0.150849351
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae	0	0.150691967
Otu7801	0	0.150594098
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae	0	0.150590049
Otu7776	0	0.150437968
Otu22931	0	0.150291326
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Sutterella	0	0.150291152
Otu1393	0	0.150216796
Otu11709	0	0.150194229
Otu7090	0	0.1499751
Otu71	0	0.1499486
Otu31054	0	0.149893148
Otu23490	0	0.149824846
Otu1185	0	0.149679752
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae	0	0.149637944
Otu692	0	0.149230735
Otu57	0	0.148989099
Otu7247	0	0.148768769
Otu12009	0	0.148585126
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella	0	0.148383544
Otu7012	0	0.148274865
Otu16302	0	0.146583121
Otu7047	0	0.146106719
Otu7079	0	0.145243632
Otu232	0.5	0.145206174
Otu620	0	0.145047571
Otu1852	0	0.144979541
Otu7364	0	0.144473193
Otu476	1.5	0.144323341
Otu321	0	0.144298172
Otu9031	0	0.143391654
Otu9104	0	0.142513902
Otu1127	0	0.142422492
Otu24201	0	0.142302607
Otu770	0	0.142268408
Otu468	0	0.142252443
Otu7769	0	0.141571087
Otu8694	0	0.141510939
Otu7074	0.5	0.141471851
Otu7755	0	0.141382737
Otu26671	0	0.140915617
Otu15816	1	0.140695401
Otu870	0	0.140388807
Otu769	0	0.140307147
Otu21	0	0.140287404
Otu1252	0	0.140175329
Bacteria.Cyanobacteria	0	0.140099298
Otu7516	0	0.13955097
Otu632	0	0.13929916
Otu630	0	0.139220043
Otu7758	0	0.138960039
Otu9115	0	0.138557006
Otu19662	2.5	0.138543383
Otu28854	0	0.138530751
Otu7034	0	0.1382974
Otu7367	0.5	0.137673805
Otu17165	0	0.137218705
Otu1202	0	0.137147126
Otu16611	0	0.136672038
Otu8913	0	0.136301993
Otu9720	0	0.136202011
Otu43	0	0.135976774
Otu83	0	0.135597828
Otu9020	0	0.135312305
Bacteria.Synergistetes	0	0.135165624
Bacteria.Synergistetes.Synergistia	0	0.135165624
Bacteria.Synergistetes.Synergistia.Synergistales	0	0.135165624
Otu106	0	0.135164168
Otu480	0.5	0.13475498
Otu1143	0	0.13462666
Otu17097	0	0.133956143
Otu153	0.5	0.133954782
Otu29648	0	0.133899417
Bacteria.Cyanobacteria.4C0d.2	0	0.133861872
Bacteria.Cyanobacteria.4C0d.2.YS2	0	0.133823212
Otu8942	0	0.1335654
Otu19824	1	0.132900505
Otu723	0	0.132324447
Otu674	0	0.13231575
Otu12048	0	0.13230103
Otu8723	0	0.131974145
Otu15699	0	0.131973568
Otu524	0	0.131782613
Otu9948	0	0.131623802
Otu15937	0	0.131053681
Otu45	0	0.13095715
Otu7052	0	0.130751298
Otu7423	0	0.130544621
Otu798	0	0.1304336
Otu77	0	0.130196519
Otu15678	0.5	0.130100042
Otu780	0	0.129972521
Bacteria.Synergistetes.Synergistia.Synergistales.Dethiosulfovibrionaceae	0.5	0.129889717
Otu7056	0	0.129691424
Otu8922	0.5	0.129491301
Otu9571	0	0.129304527
Otu6986	0	0.129169195
Otu22497	0	0.128594033
Otu15738	0	0.12842492
Otu963	0	0.128111867
Otu10140	0	0.127914554
Bacteria.Spirochaetes	0	0.127766846
Bacteria.Spirochaetes.Spirochaetes	0	0.127286289
Bacteria.Firmicutes.Bacilli.Turicibacterales	0	0.127160536
Bacteria.Firmicutes.Bacilli.Turicibacterales.Turicibacteraceae	0	0.127160536
Bacteria.Firmicutes.Bacilli.Turicibacterales.Turicibacteraceae.Turicibacter	0	0.127160536
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.Ruminococcus_flavefaciens	0	0.126546237
Otu7262	0	0.126466473
Otu42	0	0.125949563
Otu947	0	0.12578859
Otu11829	0	0.125776294
Otu1759	0	0.125650759
Otu28842	0	0.125489957
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Paraprevotellaceae.Prevotella	0	0.125389891
Otu28489	0	0.125340791
Otu707	0	0.125270279
Otu15927	0	0.12498968
Otu16079	0	0.124712591
Otu1538	0	0.124672165
Otu8944	0	0.124405261
Otu15792	0	0.123973431
Otu7417	0.5	0.123830388
Otu350	0	0.123012841
Otu29191	0	0.122667696
Otu16640	0	0.122662408
Otu7256	0	0.122590713
Otu15740	0	0.122549431
Otu7757	0	0.122542402
Otu21786	0	0.122525674
Otu8693	0	0.122226325
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Butyricicoccus.Butyricicoccus_pullicaecorum	0	0.122016932
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Butyricicoccus	0	0.122016932
Otu242	0	0.121915548
Otu3442	0	0.121701505
Otu22380	0	0.12161482
Otu734	0	0.121589578
Otu7446	0	0.121568239
Otu643	0	0.121487451
Otu60	0	0.121467319
Otu759	0	0.121214731
Otu15665	0	0.121032805
Otu7229	0	0.120912949
Otu29285	0	0.120884054
Otu7038	0	0.120453566
Otu2114	0	0.120447737
Otu810	0.5	0.120220717
Otu7825	0	0.1199633
Otu11555	0	0.119917036
Bacteria.Actinobacteria	0	0.119715611
Otu326	0	0.11969285
Otu8917	0	0.119680722
Otu15800	0	0.119541677
Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae	0.5	0.119534127
Otu9486	0	0.119333343
Otu8690	0	0.119145651
Otu488	0.5	0.119143943
Otu147	0	0.11900638
Otu11489	0	0.118851712
Otu22620	0	0.118770179
Otu15933	0	0.118265127
Otu16247	0.5	0.118188123
Otu23006	0	0.118101512
Otu617	0.5	0.117923604
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.RF16	0	0.117787162
Otu953	0	0.117494457
Otu7389	0	0.117457393
Otu7154	0	0.117264408
Otu15886	0	0.11721521
Otu41	1	0.11649943
Otu8793	0	0.116421188
Otu7831	0	0.116351468
Otu910	0	0.116346556
Otu7042	0	0.116203887
Otu9665	0	0.115933617
Otu7040	0.5	0.115894788
Otu11580	0	0.115389546
Otu28999	0	0.115326223
Otu15317	0	0.115295875
Otu1061	0	0.115246602
Otu9059	0	0.115169817
Otu6893	1	0.114955461
Otu7401	0.5	0.114901791
Otu7376	0	0.11489132
Otu1843	0	0.114660427
Otu1493	0	0.114655463
Otu136	0	0.114137459
Otu19680	0	0.113988055
Otu9736	0	0.113895443
Otu1577	0	0.113835173
