id	zscore	logp	method	annotation	color
Otu476	-9.445	20.44781866	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu476	-8.231	15.73189027	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu327	-5.466	7.336959025	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu1147	-4.223	4.617622697	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu1278	-4.209	4.591590422	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu113	-3.822	3.878440156	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Eubacterium_Eubacterium_biforme	orange
Otu1228	-3.788	3.819300799	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu1147	-3.308	3.0266412	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu1278	-2.785	2.27083521	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu489	-2.644	2.086822166	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6113	-2.419	1.807990407	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6592	-2.143	1.493359694	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu1362	-2.087	1.433562508	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu24743	-2.084	1.429807439	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu24537	-1.956	1.297224922	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu113	-1.95	1.291069464	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Eubacterium_Eubacterium_biforme	orange
Otu5864	-1.824	1.16678912	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu6203	-1.788	1.131884795	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu166	-1.781	1.125170422	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6408	-1.769	1.113791376	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu499	-1.766	1.111034656	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Coprobacillus	orange
Otu25329	-1.749	1.095446737	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5866	-1.626	0.983384452	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu327	-1.577	0.940436582	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu155	-1.572	0.935542011	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Sharpea_Sharpea_azabuensis	orange
Otu346	-1.553	0.919373513	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu6408	-1.508	0.881074247	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu24537	-1.475	0.852942329	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu5895	-1.46	0.840733669	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu16891	-1.348	0.750068243	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu485	-1.328	0.734710374	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu479	-1.281	0.698535927	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu15716	-1.27	0.689944262	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia	orange
Otu3769	-1.241	0.668167956	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6203	-1.23	0.660151217	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
