id	PCOA1	PCOA2	group1	group2
4480D	0.071993727	-0.206968354	F6_D25	F6
4485D	0.212536559	-0.090727689	F6_D25	F6
4489D	0.086144168	-0.148119966	F6_D25	F6
4493D	0.067718472	-0.210097894	F6_D25	F6
4494D	0.043085691	-0.143735807	F6_D25	F6
4497D	0.107219043	-0.014110176	F6_D25	F6
4499D	0.044992162	-0.115631527	F6_D25	F6
4508D	0.146491521	-0.212774022	F6_D25	F6
4510D	0.231932184	-0.162324837	F6_D25	F6
4514D	0.234752162	-0.194181064	F6_D25	F6
4518D	0.206631688	-0.163874611	F6_D25	F6
4519D	0.25693215	-0.158656736	F6_D25	F6
4525D	0.212439078	-0.165924465	F6_D25	F6
4535D	0.148171721	-0.159604379	F6_D25	F6
4548D	0.167091133	-0.075384253	F6_D25	F6
4565D	0.265307103	-0.034006889	F6_D25	F6
4573D	0.158303769	-0.086020999	F6_D25	F6
4576D	0.145804427	-0.073066034	F6_D25	F6
4577D	0.193185503	-0.030628139	F6_D25	F6
4579D	0.101047868	-0.014319242	F6_D25	F6
4594D	0.02790219	-0.041415009	F6_D25	F6
4610D	0.20432605	-0.117762646	F6_D25	F6
4611D	0.187981777	-0.107750642	F6_D25	F6
4621D	0.154675828	-0.146976858	F6_D25	F6
4623D	0.196501111	-0.131412301	F6_D25	F6
4637D	0.06948477	-0.114554561	F6_D25	F6
4639D	0.130244556	-0.077759188	F6_D25	F6
4649D	0.213919072	-0.099332987	F6_D25	F6
4652D	0.030279672	-0.130642478	F6_D25	F6
4884D	-0.019483071	-0.096555341	F6_D25	F6
4886D	-0.016288749	-0.048093463	F6_D25	F6
4895D	0.092749621	-0.068257556	F6_D25	F6
4896D	0.145839719	-0.208814655	F6_D25	F6
4898D	0.109711934	-0.082821592	F6_D25	F6
4900D	0.088203998	-0.125136648	F6_D25	F6
4902D	0.131848384	-0.114720595	F6_D25	F6
4904D	0.231925654	-0.142951824	F6_D25	F6
4906D	0.052489716	-0.107188604	F6_D25	F6
4908D	0.022911148	-0.152795228	F6_D25	F6
4910D	0.086820107	-0.169944782	F6_D25	F6
4911D	0.175480186	-0.055808468	F6_D25	F6
4913D	0.068404657	-0.067602457	F6_D25	F6
4915D	0.130810544	-0.009222338	F6_D25	F6
4917D	0.08862658	-0.210070314	F6_D25	F6
4922D	0.101759924	-0.230323436	F6_D25	F6
4923D	0.186659302	-0.195119976	F6_D25	F6
4924D	0.145585443	-0.130834569	F6_D25	F6
4925D	0.210296376	-0.167107633	F6_D25	F6
4926D	0.16416099	-0.261800885	F6_D25	F6
4928D	0.149969167	-0.266777456	F6_D25	F6
4930D	0.180291878	-0.074713882	F6_D25	F6
4932D	0.082857036	-0.103405184	F6_D25	F6
4936D	0.07467866	-0.094240132	F6_D25	F6
4942D	0.20693065	-0.11840975	F6_D25	F6
4943D	0.119593861	-0.009876428	F6_D25	F6
4944D	0.145359888	-0.162755633	F6_D25	F6
4945D	0.083360678	-0.150883968	F6_D25	F6
4946D	0.176145228	-0.144282355	F6_D25	F6
4948D	0.168199133	-0.107129172	F6_D25	F6
4949D	0.165220495	-0.13399376	F6_D25	F6
4950D	0.177371332	-0.063561505	F6_D25	F6
4953D	0.184664906	-0.207193313	F6_D25	F6
4959D	0.133601804	-0.110879208	F6_D25	F6
4963D	0.095050444	-0.1004936	F6_D25	F6
4971D	0.156744061	-0.084093396	F6_D25	F6
4973D	0.163410037	-0.088386687	F6_D25	F6
4974D	0.091566157	-0.137732705	F6_D25	F6
4975D	0.228570191	-0.167837425	F6_D25	F6
4976D	0.120122157	-0.069157237	F6_D25	F6
4977D	0.299315161	-0.103968884	F6_D25	F6
4978D	0.12582902	-0.085447488	F6_D25	F6
4979D	0.295539685	-0.148592621	F6_D25	F6
4980D	0.184925161	-0.143020517	F6_D25	F6
4981D	0.144646159	-0.223373177	F6_D25	F6
4982D	0.165377849	-0.267912444	F6_D25	F6
4984D	0.22254038	-0.144315796	F6_D25	F6
4986D	0.189765818	-0.254935402	F6_D25	F6
4988D	0.129316033	-0.235337206	F6_D25	F6
4992D	0.229494772	-0.19175595	F6_D25	F6
4997D	0.199439594	-0.137950365	F6_D25	F6
5001D	0.158964704	-0.196115304	F6_D25	F6
5002D	0.099249373	-0.19414649	F6_D25	F6
5003D	0.22582565	-0.146663274	F6_D25	F6
5005D	0.129403144	-0.208051226	F6_D25	F6
5007D	0.227692186	-0.180815791	F6_D25	F6
5009D	0.097851725	-0.094255742	F6_D25	F6
5012D	0.12100885	-0.163147354	F6_D25	F6
5013D	0.102114625	-0.088286736	F6_D25	F6
5017D	0.167049468	-0.04069594	F6_D25	F6
5018D	0.085049672	-0.081045791	F6_D25	F6
5020D	0.160535449	-0.218030582	F6_D25	F6
5021D	0.033757756	-0.159310043	F6_D25	F6
5024D	0.101732492	-0.144888567	F6_D25	F6
5027D	-0.005966758	-0.147723447	F6_D25	F6
5028D	0.245145154	-0.030251235	F6_D25	F6
5029D	0.232169205	-0.057727603	F6_D25	F6
5031D	0.099504077	-0.100379935	F6_D25	F6
5034D	0.084296344	-0.271153072	F6_D25	F6
5037D	0.108034821	-0.113786536	F6_D25	F6
5038D	0.184002673	-0.227737246	F6_D25	F6
5039D	0.211109547	-0.147082246	F6_D25	F6
5042D	0.194593965	-0.097862729	F6_D25	F6
5044D	0.268807358	-0.11172864	F6_D25	F6
5052D	0.207070127	-0.126809478	F6_D25	F6
5053D	0.168569812	-0.141393358	F6_D25	F6
5054D	0.074695636	-0.147898211	F6_D25	F6
5057D	0.02258915	-0.265589677	F6_D25	F6
5058D	0.186405017	-0.178052189	F6_D25	F6
5059D	0.100411722	-0.234249463	F6_D25	F6
5060D	0.148383586	-0.061054268	F6_D25	F6
5061D	0.054401908	-0.065784266	F6_D25	F6
5062D	0.122280938	-0.060097078	F6_D25	F6
5063D	0.040004213	-0.047487783	F6_D25	F6
5064D	0.077815813	-0.064640909	F6_D25	F6
5066D	0.16899143	-0.118794935	F6_D25	F6
5067D	0.165266825	-0.134552033	F6_D25	F6
5068D	0.240289381	-0.074857189	F6_D25	F6
5071D	0.150707257	-0.039556265	F6_D25	F6
5073D	0.077405194	-0.145916263	F6_D25	F6
5077D	0.156142874	-0.050460774	F6_D25	F6
5078D	0.288709319	-0.141040873	F6_D25	F6
5079D	0.133283083	-0.205568618	F6_D25	F6
5080D	0.255129228	-0.125433916	F6_D25	F6
5082D	0.160385948	-0.175082883	F6_D25	F6
5085D	0.156134065	-0.13418344	F6_D25	F6
5093D	0.15945255	-0.144047387	F6_D25	F6
5095D	0.187747556	-0.115769386	F6_D25	F6
5382D	0.064019992	-0.216607312	F6_D25	F6
5384D	0.135449503	-0.025780292	F6_D25	F6
5386D	0.165783317	-0.076826434	F6_D25	F6
5388D	0.157925298	-0.053625299	F6_D25	F6
5398D	0.092182522	-0.180238169	F6_D25	F6
5400D	0.068791379	-0.272026213	F6_D25	F6
5404D	0.167441653	-0.253478053	F6_D25	F6
5406D	0.091912995	-0.215180924	F6_D25	F6
5412D	0.189457449	-0.080670485	F6_D25	F6
5421D	0.199859728	-0.035471593	F6_D25	F6
5423D	0.117675174	-0.109988958	F6_D25	F6
5424D	0.044851762	-0.037034261	F6_D25	F6
5428D	0.066787784	-0.068452425	F6_D25	F6
