id	phylum	order	family	relative_average	group
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae	Bacteroidetes	Bacteroidales	Paraprevotellaceae	0.109390596	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	Bacteroidetes	Bacteroidales	Prevotellaceae	0.097737987	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	Firmicutes	Clostridiales	Ruminococcaceae	0.087122887	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	Firmicutes	Clostridiales	Lachnospiraceae	0.08153471	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	Bacteroidetes	Bacteroidales	Bacteroidaceae	0.053424685	F6_CC
Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae	Spirochaetes	Sphaerochaetales	Sphaerochaetaceae	0.038308145	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16	Bacteroidetes	Bacteroidales	RF16	0.03501472	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	Firmicutes	Clostridiales	Veillonellaceae	0.031823326	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	Bacteroidetes	Bacteroidales	Porphyromonadaceae	0.03073182	F6_CC
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	Spirochaetes	Spirochaetales	Spirochaetaceae	0.024133387	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	Firmicutes	Clostridiales	Clostridiaceae	0.020539321	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	Bacteroidetes	Bacteroidales	S24-7	0.019756632	F6_CC
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	Firmicutes	Erysipelotrichales	Erysipelotrichaceae	0.017606325	F6_CC
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	Proteobacteria	Enterobacteriales	Enterobacteriaceae	0.015485656	F6_CC
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	Firmicutes	Lactobacillales	Lactobacillaceae	0.013093132	F6_CC
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	Fusobacteria	Fusobacteriales	Fusobacteriaceae	0.011732842	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae	Bacteroidetes	Bacteroidales	Odoribacteraceae	0.000127585	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	Firmicutes	Clostridiales	Christensenellaceae	0.001701475	F6_CC
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	Firmicutes	Lactobacillales	Streptococcaceae	0.001956979	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;BS11	Bacteroidetes	Bacteroidales	BS11	0.00098931	F6_CC
Bacteria;Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	Verrucomicrobia	WCHB1-41	RFP12	0.010408143	F6_CC
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	Proteobacteria	Pasteurellales	Pasteurellaceae	0.002311447	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	Firmicutes	Clostridiales	Peptostreptococcaceae	0.002572227	F6_CC
Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae	Firmicutes	Turicibacterales	Turicibacteraceae	0.004252581	F6_CC
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Actinobacteria	Actinomycetales	Microbacteriaceae	4.07168E-05	F6_CC
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	Firmicutes	Bacillales	Bacillaceae	0.00011873	F6_CC
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	Firmicutes	Lactobacillales	Leuconostocaceae	3.57907E-06	F6_CC
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	Proteobacteria	Desulfovibrionales	Desulfovibrionaceae	0.003938313	F6_CC
Bacteria;Thermi;Deinococci;Thermales;Thermaceae	Thermi	Thermales	Thermaceae	9.60741E-05	F6_CC
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	Proteobacteria	Campylobacterales	Campylobacteraceae	0.005932935	F6_CC
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	Proteobacteria	Campylobacterales	Helicobacteraceae	0.002485869	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5	Bacteroidetes	Bacteroidales	p-2534-18B5	0.001179401	F6_CC
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Proteobacteria	Pseudomonadales	Pseudomonadaceae	8.14247E-05	F6_CC
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Proteobacteria	Burkholderiales	Alcaligenaceae	0.00766541	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteroidetes	Bacteroidales	Rikenellaceae	0.000903288	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae	Bacteroidetes	Bacteroidales	Barnesiellaceae	5.11123E-07	F6_CC
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	Verrucomicrobia	Verrucomicrobiales	Verrucomicrobiaceae	0.000967335	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Tissierellaceae	Firmicutes	Clostridiales	Tissierellaceae	7.18867E-05	F6_CC
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Proteobacteria	Oceanospirillales	Halomonadaceae	3.40753E-06	F6_CC
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Actinobacteria	Actinomycetales	Corynebacteriaceae	0.000470811	F6_CC
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	Tenericutes	Anaeroplasmatales	Anaeroplasmataceae	0.003258678	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	Firmicutes	Clostridiales	Mogibacteriaceae	0.006880848	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae	Firmicutes	Clostridiales	Dehalobacteriaceae	0.00012282	F6_CC
Others	Others	Others	Others	0.254022042	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae	Bacteroidetes	Bacteroidales	Paraprevotellaceae	0.038489061	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	Bacteroidetes	Bacteroidales	Prevotellaceae	0.101150442	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	Firmicutes	Clostridiales	Ruminococcaceae	0.121257617	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	Firmicutes	Clostridiales	Lachnospiraceae	0.055626822	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	Bacteroidetes	Bacteroidales	Bacteroidaceae	0.086482046	F6_D25
Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae	Spirochaetes	Sphaerochaetales	Sphaerochaetaceae	0.021988353	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16	Bacteroidetes	Bacteroidales	RF16	0.000690415	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	Firmicutes	Clostridiales	Veillonellaceae	0.031458101	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	Bacteroidetes	Bacteroidales	Porphyromonadaceae	0.014366807	F6_D25
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	Spirochaetes	Spirochaetales	Spirochaetaceae	0.017133863	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	Firmicutes	Clostridiales	Clostridiaceae	0.004661126	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	Bacteroidetes	Bacteroidales	S24-7	0.03187181	F6_D25
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	Firmicutes	Erysipelotrichales	Erysipelotrichaceae	0.06750178	F6_D25
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	Proteobacteria	Enterobacteriales	Enterobacteriaceae	0.020515488	F6_D25
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	Firmicutes	Lactobacillales	Lactobacillaceae	0.021160934	F6_D25
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	Fusobacteria	Fusobacteriales	Fusobacteriaceae	0.062119961	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae	Bacteroidetes	Bacteroidales	Odoribacteraceae	0.01649861	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	Firmicutes	Clostridiales	Christensenellaceae	0.015492517	F6_D25
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	Firmicutes	Lactobacillales	Streptococcaceae	0.000906563	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;BS11	Bacteroidetes	Bacteroidales	BS11	0.002795236	F6_D25
Bacteria;Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	Verrucomicrobia	WCHB1-41	RFP12	0.002593778	F6_D25
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	Proteobacteria	Pasteurellales	Pasteurellaceae	0.00253412	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	Firmicutes	Clostridiales	Peptostreptococcaceae	0.000311481	F6_D25
Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae	Firmicutes	Turicibacterales	Turicibacteraceae	0.000107025	F6_D25
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Actinobacteria	Actinomycetales	Microbacteriaceae	5.90585E-05	F6_D25
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	Firmicutes	Bacillales	Bacillaceae	0.000430498	F6_D25
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	Firmicutes	Lactobacillales	Leuconostocaceae	9.32345E-05	F6_D25
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	Proteobacteria	Desulfovibrionales	Desulfovibrionaceae	0.009066231	F6_D25
Bacteria;Thermi;Deinococci;Thermales;Thermaceae	Thermi	Thermales	Thermaceae	0.000244029	F6_D25
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	Proteobacteria	Campylobacterales	Campylobacteraceae	0.011364416	F6_D25
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	Proteobacteria	Campylobacterales	Helicobacteraceae	0.005299977	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5	Bacteroidetes	Bacteroidales	p-2534-18B5	0.009241308	F6_D25
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Proteobacteria	Pseudomonadales	Pseudomonadaceae	0.003628951	F6_D25
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Proteobacteria	Burkholderiales	Alcaligenaceae	0.004066643	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteroidetes	Bacteroidales	Rikenellaceae	0.005261903	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae	Bacteroidetes	Bacteroidales	Barnesiellaceae	0.00027011	F6_D25
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	Verrucomicrobia	Verrucomicrobiales	Verrucomicrobiaceae	0.000511141	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Tissierellaceae	Firmicutes	Clostridiales	Tissierellaceae	0.000207454	F6_D25
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Proteobacteria	Oceanospirillales	Halomonadaceae	2.39831E-06	F6_D25
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Actinobacteria	Actinomycetales	Corynebacteriaceae	0.000349554	F6_D25
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	Tenericutes	Anaeroplasmatales	Anaeroplasmataceae	1.40901E-05	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	Firmicutes	Clostridiales	Mogibacteriaceae	0.00710381	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae	Firmicutes	Clostridiales	Dehalobacteriaceae	0.000152293	F6_D25
Others	Others	Others	Others	0.204918945	F6_D25
