class1	class2	group	shannon
F6_D25(175)	F6_D25	D25	4.467851
F6_D25(175)	F6_D25	D25	4.045846
F6_D25(175)	F6_D25	D25	5.263594
F6_D25(175)	F6_D25	D25	4.946203
F6_D25(175)	F6_D25	D25	5.09765
F6_D25(175)	F6_D25	D25	4.919279
F6_D25(175)	F6_D25	D25	5.295831
F6_D25(175)	F6_D25	D25	5.065638
F6_D25(175)	F6_D25	D25	4.052964
F6_D25(175)	F6_D25	D25	4.274489
F6_D25(175)	F6_D25	D25	3.575291
F6_D25(175)	F6_D25	D25	3.843212
F6_D25(175)	F6_D25	D25	3.756915
F6_D25(175)	F6_D25	D25	4.166111
F6_D25(175)	F6_D25	D25	4.094862
F6_D25(175)	F6_D25	D25	3.782771
F6_D25(175)	F6_D25	D25	4.160247
F6_D25(175)	F6_D25	D25	4.792229
F6_D25(175)	F6_D25	D25	3.955736
F6_D25(175)	F6_D25	D25	4.50916
F6_D25(175)	F6_D25	D25	5.025261
F6_D25(175)	F6_D25	D25	3.737799
F6_D25(175)	F6_D25	D25	4.06664
F6_D25(175)	F6_D25	D25	4.004311
F6_D25(175)	F6_D25	D25	3.870587
F6_D25(175)	F6_D25	D25	4.786856
F6_D25(175)	F6_D25	D25	4.129601
F6_D25(175)	F6_D25	D25	3.804793
F6_D25(175)	F6_D25	D25	4.960513
F6_D25(175)	F6_D25	D25	5.327978
F6_D25(175)	F6_D25	D25	5.317544
F6_D25(175)	F6_D25	D25	5.014024
F6_D25(175)	F6_D25	D25	4.11686
F6_D25(175)	F6_D25	D25	4.953983
F6_D25(175)	F6_D25	D25	4.957689
F6_D25(175)	F6_D25	D25	4.210619
F6_D25(175)	F6_D25	D25	2.617253
F6_D25(175)	F6_D25	D25	5.162677
F6_D25(175)	F6_D25	D25	4.899284
F6_D25(175)	F6_D25	D25	4.867299
F6_D25(175)	F6_D25	D25	3.676716
F6_D25(175)	F6_D25	D25	4.732484
F6_D25(175)	F6_D25	D25	4.610988
F6_D25(175)	F6_D25	D25	4.684064
F6_D25(175)	F6_D25	D25	4.981792
F6_D25(175)	F6_D25	D25	4.040869
F6_D25(175)	F6_D25	D25	4.586482
F6_D25(175)	F6_D25	D25	4.731478
F6_D25(175)	F6_D25	D25	4.47667
F6_D25(175)	F6_D25	D25	3.944063
F6_D25(175)	F6_D25	D25	5.19599
F6_D25(175)	F6_D25	D25	4.711023
F6_D25(175)	F6_D25	D25	4.632574
F6_D25(175)	F6_D25	D25	4.288941
F6_D25(175)	F6_D25	D25	4.32589
F6_D25(175)	F6_D25	D25	4.817073
F6_D25(175)	F6_D25	D25	4.569295
F6_D25(175)	F6_D25	D25	4.068717
F6_D25(175)	F6_D25	D25	4.231018
F6_D25(175)	F6_D25	D25	3.932527
F6_D25(175)	F6_D25	D25	5.09606
F6_D25(175)	F6_D25	D25	4.024966
F6_D25(175)	F6_D25	D25	4.789252
F6_D25(175)	F6_D25	D25	4.604127
F6_D25(175)	F6_D25	D25	4.142834
F6_D25(175)	F6_D25	D25	4.012732
F6_D25(175)	F6_D25	D25	4.837352
F6_D25(175)	F6_D25	D25	3.824274
F6_D25(175)	F6_D25	D25	4.882071
F6_D25(175)	F6_D25	D25	3.781542
F6_D25(175)	F6_D25	D25	4.502033
F6_D25(175)	F6_D25	D25	3.682755
F6_D25(175)	F6_D25	D25	4.313195
F6_D25(175)	F6_D25	D25	3.685669
F6_D25(175)	F6_D25	D25	3.819142
F6_D25(175)	F6_D25	D25	4.309727
F6_D25(175)	F6_D25	D25	3.745225
F6_D25(175)	F6_D25	D25	4.581671
F6_D25(175)	F6_D25	D25	3.309812
F6_D25(175)	F6_D25	D25	4.725223
F6_D25(175)	F6_D25	D25	3.800063
F6_D25(175)	F6_D25	D25	4.478767
F6_D25(175)	F6_D25	D25	2.869608
F6_D25(175)	F6_D25	D25	4.083085
F6_D25(175)	F6_D25	D25	4.681266
F6_D25(175)	F6_D25	D25	3.954246
F6_D25(175)	F6_D25	D25	4.412616
F6_D25(175)	F6_D25	D25	4.927697
