kinship	microbiome	group	group2
0.146692255	0.713728517	F6_D25	D25
0.146692255	0.713728517	F6_D25	D25
0.150950255	0.82406083	F6_D25	D25
0.14435579	0.608220615	F6_D25	D25
0.150950255	0.82406083	F6_D25	D25
0.160792034	0.70319015	F6_D25	D25
0.14435579	0.608220615	F6_D25	D25
0.160792034	0.70319015	F6_D25	D25
0.116220995	0.734441142	F6_D25	D25
0.116220995	0.734441142	F6_D25	D25
0.148305591	0.622828304	F6_D25	D25
0.146229848	0.816946622	F6_D25	D25
0.148305591	0.622828304	F6_D25	D25
0.163964975	0.636827675	F6_D25	D25
0.146229848	0.816946622	F6_D25	D25
0.163964975	0.636827675	F6_D25	D25
0.108631482	0.78825289	F6_D25	D25
0.125909166	0.649876885	F6_D25	D25
0.134490473	0.82231373	F6_D25	D25
0.155568558	0.630046374	F6_D25	D25
0.108631482	0.78825289	F6_D25	D25
0.142344298	0.638202495	F6_D25	D25
0.135614704	0.813390861	F6_D25	D25
0.120765655	0.663278549	F6_D25	D25
0.125909166	0.649876885	F6_D25	D25
0.142344298	0.638202495	F6_D25	D25
0.149293536	0.872782563	F6_D25	D25
0.156984656	0.738030136	F6_D25	D25
0.134490473	0.82231373	F6_D25	D25
0.135614704	0.813390861	F6_D25	D25
0.149293536	0.872782563	F6_D25	D25
0.159057787	0.75777783	F6_D25	D25
0.155568558	0.630046374	F6_D25	D25
0.120765655	0.663278549	F6_D25	D25
0.156984656	0.738030136	F6_D25	D25
0.159057787	0.75777783	F6_D25	D25
0.17172031	0.784168623	F6_D25	D25
0.17172031	0.784168623	F6_D25	D25
0.152771293	0.52654197	F6_D25	D25
0.152771293	0.52654197	F6_D25	D25
0.171687236	0.525081813	F6_D25	D25
0.137690707	0.722654142	F6_D25	D25
0.149910482	0.482707634	F6_D25	D25
0.1600209	0.688729827	F6_D25	D25
0.150962269	0.794795815	F6_D25	D25
0.149704876	0.825911994	F6_D25	D25
0.171687236	0.525081813	F6_D25	D25
0.135886545	0.695914083	F6_D25	D25
0.121851342	0.435723997	F6_D25	D25
0.139668891	0.695410633	F6_D25	D25
0.132151803	0.705707265	F6_D25	D25
0.150198684	0.783036592	F6_D25	D25
0.137690707	0.722654142	F6_D25	D25
0.135886545	0.695914083	F6_D25	D25
0.143255862	0.707286188	F6_D25	D25
0.103251088	0.756932842	F6_D25	D25
0.153030685	0.845482538	F6_D25	D25
0.124183147	0.867931551	F6_D25	D25
0.149910482	0.482707634	F6_D25	D25
0.121851342	0.435723997	F6_D25	D25
0.143255862	0.707286188	F6_D25	D25
0.126067144	0.744746854	F6_D25	D25
0.126124593	0.816627408	F6_D25	D25
0.15037473	0.850281293	F6_D25	D25
0.1600209	0.688729827	F6_D25	D25
0.139668891	0.695410633	F6_D25	D25
0.103251088	0.756932842	F6_D25	D25
0.126067144	0.744746854	F6_D25	D25
0.133296298	0.451984354	F6_D25	D25
0.168408568	0.740941343	F6_D25	D25
0.150962269	0.794795815	F6_D25	D25
0.132151803	0.705707265	F6_D25	D25
0.153030685	0.845482538	F6_D25	D25
0.126124593	0.816627408	F6_D25	D25
0.133296298	0.451984354	F6_D25	D25
0.149598753	0.720024039	F6_D25	D25
0.149704876	0.825911994	F6_D25	D25
0.150198684	0.783036592	F6_D25	D25
