DS	TAX	HER1	HER2	LEVEL
CC	Otu321	0.3988 	0.3815 	OTUs
CC	Otu1185	0.3688 	0.3688 	OTUs
CC	Otu1178	0.3415 	0.3314 	OTUs
CC	Otu6890	0.3240 	0.3024 	OTUs
CC	Otu1223	0.2944 	0.2912 	OTUs
CC	Otu13160	0.2892 	0.2779 	OTUs
CC	Otu15931	0.2883 	0.2883 	OTUs
CC	Otu9950	0.2781 	0.2781 	OTUs
CC	Otu719	0.2765 	0.2764 	OTUs
CC	Otu245	0.2752 	0.2752 	OTUs
CC	Otu582	0.2743 	0.2673 	OTUs
CC	Otu753	0.2739 	0.2739 	OTUs
CC	Otu693	0.2656 	0.2656 	OTUs
CC	Otu660	0.2560 	0.2560 	OTUs
CC	Otu1139	0.2528 	0.2528 	OTUs
CC	Otu750	0.2366 	0.2366 	OTUs
CC	Otu525	0.2361 	0.2361 	OTUs
CC	Otu9486	0.2354 	0.2273 	OTUs
CC	Otu633	0.2347 	0.2347 	OTUs
CC	Otu15934	0.2335 	0.2269 	OTUs
CC	Otu5919	0.2297 	0.2297 	OTUs
CC	Otu624	0.2293 	0.2293 	OTUs
CC	Otu659	0.2272 	0.2272 	OTUs
CC	Otu9027	0.2263 	0.2145 	OTUs
CC	Otu15729	0.2263 	0.2163 	OTUs
CC	Otu10901	0.2259 	0.2259 	OTUs
CC	Bacteria.Firmicutes.Bacilli.Lactobacillales	0.2249 	0.2249 	Order
CC	Otu1601	0.2244 	0.2244 	OTUs
CC	Otu616	0.2225 	0.2225 	OTUs
CC	Otu8671	0.2149 	0.2148 	OTUs
CC	Otu6408	0.2094 	0.2094 	OTUs
CC	Bacteria.Proteobacteria.Betaproteobacteria.Tremblayales	0.2063 	0.2063 	Order
CC	Otu26337	0.2013 	0.2013 	OTUs
CC	Otu7011	0.1995 	0.1995 	OTUs
CC	Otu14184	0.1987 	0.1987 	OTUs
CC	Otu620	0.1984 	0.1985 	OTUs
CC	Otu7006	0.1966 	0.1966 	OTUs
CC	Otu9115	0.1963 	0.1889 	OTUs
CC	Otu114	0.1961 	0.1960 	OTUs
CC	Otu112	0.1960 	0.1725 	OTUs
CC	Bacteria.Proteobacteria.Epsilonproteobacteria	0.1959 	0.1959 	Class
CC	Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales	0.1959 	0.1959 	Order
CC	Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Epulopiscium	0.1942 	0.1942 	Genus
CC	Otu10140	0.1923 	0.1624 	OTUs
CC	Otu7078	0.1923 	0.1923 	OTUs
CC	Otu507	0.1915 	0.1915 	OTUs
CC	Otu714	0.1899 	0.1899 	OTUs
CC	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Paraprevotellaceae.Prevotella	0.1898 	0.1851 	Genus
CC	Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter	0.1891 	0.1331 	Genus
CC	Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae	0.1883 	0.1320 	Family
CC	Otu19671	0.1875 	0.1875 	OTUs
CC	Otu1163	0.1869 	0.1835 	OTUs
CC	Bacteria.Tenericutes.Mollicutes.Mycoplasmatales	0.1864 	0.1864 	Order
CC	Bacteria.Tenericutes.Mollicutes.Mycoplasmatales.Mycoplasmataceae	0.1864 	0.1864 	Family
CC	Otu15701	0.1857 	0.1611 	OTUs
CC	Otu7079	0.1850 	0.1850 	OTUs
CC	Otu8723	0.1849 	0.1849 	OTUs
CC	Otu7017	0.1818 	0.1407 	OTUs
CC	Otu1136	0.1818 	0.1818 	OTUs
CC	Otu9996	0.1799 	0.1799 	OTUs
CC	Otu24331	0.1798 	0.1613 	OTUs
CC	Otu6896	0.1790 	0.1790 	OTUs
CC	Otu814	0.1785 	0.1733 	OTUs
CC	Otu682	0.1783 	0.1783 	OTUs
CC	Otu11005	0.1779 	0.1779 	OTUs
CC	Otu21382	0.1770 	0.1770 	OTUs
CC	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides	0.1749 	0.1749 	Genus
CC	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae	0.1748 	0.1748 	Family
CC	Otu15702	0.1747 	0.1666 	OTUs
CC	Otu664	0.1745 	0.1408 	OTUs
CC	Otu610	0.1743 	0.1742 	OTUs
CC	Otu707	0.1723 	0.1565 	OTUs
CC	Otu826	0.1716 	0.1716 	OTUs
CC	Otu21446	0.1701 	0.1612 	OTUs
CC	Otu28491	0.1697 	0.1697 	OTUs
CC	Otu15317	0.1693 	0.1598 	OTUs
CC	Otu3144	0.1690 	0.1690 	OTUs
CC	Otu24847	0.1673 	0.1396 	OTUs
CC	Otu41	0.1666 	0.1666 	OTUs
CC	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.BS11	0.1651 	0.1484 	Family
CC	Otu603	0.1650 	0.1509 	OTUs
CC	Otu15617	0.1646 	0.1646 	OTUs
CC	Otu1452	0.1625 	0.1625 	OTUs
CC	Otu7754	0.1624 	0.1624 	OTUs
CC	Otu15830	0.1621 	0.1621 	OTUs
CC	Otu29669	0.1621 	0.1543 	OTUs
CC	Otu7909	0.1620 	0.1532 	OTUs
CC	Otu24692	0.1617 	0.1357 	OTUs
CC	Otu28574	0.1612 	0.1611 	OTUs
CC	Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Peptococcus	0.1611 	0.1611 	Genus
CC	Otu135	0.1611 	0.1611 	OTUs
CC	Otu8157	0.1609 	0.1609 	OTUs
CC	Otu756	0.1607 	0.1607 	OTUs
CC	Otu21086	0.1606 	0.1605 	OTUs
CC	Otu1047	0.1604 	0.1604 	OTUs
CC	Otu15712	0.1591 	0.1591 	OTUs
CC	Otu15828	0.1588 	0.1588 	OTUs
CC	Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus	0.1587 	0.1587 	Genus
CC	Otu8871	0.1581 	0.1581 	OTUs
CC	Otu11437	0.1579 	0.1144 	OTUs
CC	Otu7756	0.1577 	0.1577 	OTUs
CC	Otu5405	0.1572 	0.1572 	OTUs
CC	Otu31107	0.1572 	0.1571 	OTUs
CC	Otu248	0.1569 	0.1570 	OTUs
CC	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.Prevotella_stercorea	0.1564 	0.1564 	Species
CC	Otu19666	0.1557 	0.1177 	OTUs
CC	Otu11655	0.1550 	0.1367 	OTUs
CC	Otu186	0.1548 	0.1548 	OTUs
CC	Bacteria.Verrucomicrobia.Verruco.5	0.1543 	0.1465 	Class
CC	Bacteria.Verrucomicrobia.Verruco.5.WCHB1.41	0.1543 	0.1465 	Order
CC	Otu7038	0.1527 	0.1527 	OTUs
CC	Otu15688	0.1527 	0.1528 	OTUs
CC	Otu7838	0.1527 	0.1307 	OTUs
CC	Otu18319	0.1526 	0.1526 	OTUs
CC	Otu9142	0.1522 	0.1522 	OTUs
CC	Otu1213	0.1520 	0.1520 	OTUs
CC	Otu20543	0.1519 	0.1519 	OTUs
CC	Otu617	0.1513 	0.1513 	OTUs
CC	Otu1149	0.1512 	0.1512 	OTUs
CC	Otu1168	0.1509 	0.1509 	OTUs
CC	Bacteria.Elusimicrobia.Elusimicrobia.Elusimicrobiales.Elusimicrobiaceae.Elusimicrobium	0.1509 	0.1509 	Genus
CC	Otu15740	0.1503 	0.1503 	OTUs
CC	Otu646	0.1501 	0.1501 	OTUs
CC	Otu1615	0.1494 	0.1046 	OTUs
CC	Bacteria.Verrucomicrobia	0.1492 	0.1393 	Phylum
CC	Otu8821	0.1491 	0.1388 	OTUs
CC	Otu10090	0.1487 	0.1380 	OTUs
CC	Otu8151	0.1485 	0.1485 	OTUs
CC	Otu27910	0.1481 	0.1116 	OTUs
CC	Otu111	0.1478 	0.1566 	OTUs
CC	Otu7750	0.1468 	0.1468 	OTUs
CC	Otu1142	0.1463 	0.1431 	OTUs
CC	Otu504	0.1462 	0.1319 	OTUs
CC	Otu16670	0.1461 	0.1461 	OTUs
CC	Otu28710	0.1460 	0.1395 	OTUs
CC	Otu7246	0.1457 	0.1457 	OTUs
CC	Otu673	0.1448 	0.1389 	OTUs
CC	Otu9556	0.1436 	0.1248 	OTUs
CC	Otu7083	0.1419 	0.0822 	OTUs
CC	Otu7049	0.1418 	0.1390 	OTUs
CC	Otu10603	0.1413 	0.1203 	OTUs
CC	Otu9217	0.1410 	0.1185 	OTUs
CC	Otu270	0.1408 	0.1055 	OTUs
CC	Otu3216	0.1400 	0.1120 	OTUs
CC	Otu16302	0.1397 	0.1387 	OTUs
CC	Otu26308	0.1397 	0.1397 	OTUs
CC	Bacteria.Proteobacteria.Betaproteobacteria	0.1396 	0.1396 	Class
CC	Otu7801	0.1395 	0.1182 	OTUs
CC	Otu8690	0.1392 	0.1355 	OTUs
CC	Otu368	0.1388 	0.1388 	OTUs
CC	Otu27461	0.1384 	0.1319 	OTUs
CC	Otu7243	0.1380 	0.1197 	OTUs
CC	Otu78	0.1378 	0.1359 	OTUs
CC	Bacteria.Firmicutes.Bacilli	0.1377 	0.1377 	Class
CC	Otu7334	0.1375 	0.1310 	OTUs
CC	Otu15699	0.1375 	0.1375 	OTUs
CC	Otu138	0.1374 	0.1227 	OTUs
CC	Otu25357	0.1373 	0.1369 	OTUs
CC	Otu26279	0.1369 	0.1369 	OTUs
CC	Bacteria.Deferribacteres	0.1368 	0.1368 	Phylum
CC	Bacteria.Deferribacteres.Deferribacteres	0.1368 	0.1368 	Class
CC	Bacteria.Deferribacteres.Deferribacteres.Deferribacterales	0.1368 	0.1368 	Order
CC	Bacteria.Deferribacteres.Deferribacteres.Deferribacterales.Deferribacteraceae	0.1368 	0.1368 	Family
CC	Bacteria.Deferribacteres.Deferribacteres.Deferribacterales.Deferribacteraceae.Mucispirillum	0.1368 	0.1368 	Genus
CC	Bacteria.Deferribacteres.Deferribacteres.Deferribacterales.Deferribacteraceae.Mucispirillum.Mucispirillum_schaedleri	0.1368 	0.1368 	Species
CC	Otu26564	0.1367 	0.1367 	OTUs
CC	Otu26290	0.1366 	0.1298 	OTUs
CC	Otu7377	0.1364 	0.1243 	OTUs
CC	Otu1513	0.1358 	0.1358 	OTUs
CC	Bacteria.Firmicutes.Erysipelotrichi	0.1355 	0.1178 	Class
CC	Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales	0.1355 	0.1178 	Order
CC	Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae	0.1355 	0.1178 	Family
CC	Otu218	0.1355 	0.1354 	OTUs
CC	Otu224	0.1354 	0.1354 	OTUs
CC	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Paraprevotellaceae	0.1345 	0.1345 	Family
CC	Otu683	0.1344 	0.1345 	OTUs
CC	Otu8913	0.1340 	0.1340 	OTUs
CC	Otu1526	0.1339 	0.1339 	OTUs
CC	Otu19679	0.1339 	0.1224 	OTUs
CC	Otu31410	0.1338 	0.1293 	OTUs
CC	Otu818	0.1337 	0.1337 	OTUs
CC	Otu614	0.1337 	0.1337 	OTUs
CC	Otu6883	0.1335 	0.1269 	OTUs
CC	Otu783	0.1332 	0.1136 	OTUs
CC	Otu9736	0.1331 	0.1331 	OTUs
CC	Otu16232	0.1327 	0.1314 	OTUs
CC	Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus	0.1327 	0.1327 	Genus
CC	Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae	0.1326 	0.1326 	Family
CC	Otu724	0.1308 	0.1050 	OTUs
CC	Otu15845	0.1307 	0.1307 	OTUs
