id	F6-p	F7-p	annotation	group	method	shape
Otu476	3.57E-21	1.45E-17	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu24743	0.03717	0.000000436	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu6408	0.07695	0.000000712	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu24537	0.1403	0.9911	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu3769	0.2147	0.05717	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu6203	0.2187	0.3029	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu6592	0.2252	0.6079	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu489	0.2319	0.1228	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu5967	0.2387	0.8507	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu24297	0.3082	0.3288	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu6113	0.3682	0.0125	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu472	0.6258	0.0885	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu5966	0.6496	0.4549	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu479	0.6917	0.3486	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h1-q	Binary_Quantitative
Otu476	1.85E-16	2.16E-17	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu489	0.008188	0.03537	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu6113	0.01556	0.005148	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu6592	0.03211	0.1171	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu24537	0.05044	0.1657	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu6203	0.07381	0.7909	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu6408	0.1315	0.05989	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu472	0.1342	0.1229	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu479	0.2002	0.3391	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu5967	0.3061	0.008977	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu5966	0.3382	0.9364	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu24297	0.3828	0.2102	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
