logp	group
6.360513511	Erysipelotrichaceae_F7
6.147520006	Erysipelotrichaceae_F7
4.958607315	Erysipelotrichaceae_F7
4.525783736	Erysipelotrichaceae_F7
4.033858267	Erysipelotrichaceae_F7
3.853251986	Erysipelotrichaceae_F7
3.538801711	Erysipelotrichaceae_F7
3.467372999	Erysipelotrichaceae_F7
2.583193128	Erysipelotrichaceae_F7
2.49825627	Erysipelotrichaceae_F7
2.286257522	Erysipelotrichaceae_F7
2.020042107	Erysipelotrichaceae_F7
1.903089987	Erysipelotrichaceae_F7
1.853251986	Erysipelotrichaceae_F7
1.845271793	Erysipelotrichaceae_F7
1.613679426	Erysipelotrichaceae_F7
1.524183587	Erysipelotrichaceae_F7
1.474178048	Erysipelotrichaceae_F7
1.473789996	Erysipelotrichaceae_F7
1.458046526	Erysipelotrichaceae_F7
1.445995679	Erysipelotrichaceae_F7
1.415329616	Erysipelotrichaceae_F7
1.39501837	Erysipelotrichaceae_F7
1.344765493	Erysipelotrichaceae_F7
1.332920795	Erysipelotrichaceae_F7
1.247951552	Erysipelotrichaceae_F7
1.242831808	Erysipelotrichaceae_F7
1.199557879	Erysipelotrichaceae_F7
1.197363082	Erysipelotrichaceae_F7
1.13578567	Erysipelotrichaceae_F7
1.063737658	Erysipelotrichaceae_F7
1.053056729	Erysipelotrichaceae_F7
0.919012953	Erysipelotrichaceae_F7
0.910801633	Erysipelotrichaceae_F7
0.907981529	Erysipelotrichaceae_F7
0.884722409	Erysipelotrichaceae_F7
0.874193542	Erysipelotrichaceae_F7
0.825358807	Erysipelotrichaceae_F7
0.777543663	Erysipelotrichaceae_F7
0.722620025	Erysipelotrichaceae_F7
0.694433686	Erysipelotrichaceae_F7
0.677367288	Erysipelotrichaceae_F7
0.628009089	Erysipelotrichaceae_F7
0.623423043	Erysipelotrichaceae_F7
0.603626272	Erysipelotrichaceae_F7
0.568475416	Erysipelotrichaceae_F7
0.562883907	Erysipelotrichaceae_F7
0.539102157	Erysipelotrichaceae_F7
0.527243551	Erysipelotrichaceae_F7
0.518700727	Erysipelotrichaceae_F7
0.515130967	Erysipelotrichaceae_F7
0.494714326	Erysipelotrichaceae_F7
0.483068191	Erysipelotrichaceae_F7
0.457672617	Erysipelotrichaceae_F7
0.455435903	Erysipelotrichaceae_F7
0.438540829	Erysipelotrichaceae_F7
0.427012292	Erysipelotrichaceae_F7
0.416801226	Erysipelotrichaceae_F7
0.415216621	Erysipelotrichaceae_F7
0.410050399	Erysipelotrichaceae_F7
0.40882405	Erysipelotrichaceae_F7
0.394048842	Erysipelotrichaceae_F7
0.37716452	Erysipelotrichaceae_F7
0.345727173	Erysipelotrichaceae_F7
0.342084063	Erysipelotrichaceae_F7
0.31452698	Erysipelotrichaceae_F7
0.302247726	Erysipelotrichaceae_F7
0.283662712	Erysipelotrichaceae_F7
0.281996832	Erysipelotrichaceae_F7
0.270511231	Erysipelotrichaceae_F7
0.25971628	Erysipelotrichaceae_F7
0.255707017	Erysipelotrichaceae_F7
0.248028425	Erysipelotrichaceae_F7
0.245116772	Erysipelotrichaceae_F7
0.231139999	Erysipelotrichaceae_F7
0.228192121	Erysipelotrichaceae_F7
0.219394694	Erysipelotrichaceae_F7
0.216167857	Erysipelotrichaceae_F7
0.21275212	Erysipelotrichaceae_F7
0.199420378	Erysipelotrichaceae_F7
0.172953983	Erysipelotrichaceae_F7
0.170760572	Erysipelotrichaceae_F7
0.167554959	Erysipelotrichaceae_F7
0.163802519	Erysipelotrichaceae_F7
0.159141446	Erysipelotrichaceae_F7
0.149108816	Erysipelotrichaceae_F7
0.148741651	Erysipelotrichaceae_F7
0.145511775	Erysipelotrichaceae_F7
0.139183036	Erysipelotrichaceae_F7
0.138943755	Erysipelotrichaceae_F7
0.133063182	Erysipelotrichaceae_F7
0.120846754	Erysipelotrichaceae_F7
0.119243555	Erysipelotrichaceae_F7
0.110866444	Erysipelotrichaceae_F7
0.09280369	Erysipelotrichaceae_F7
0.070223567	Erysipelotrichaceae_F7
0.058936012	Erysipelotrichaceae_F7
0.047837426	Erysipelotrichaceae_F7
0.044023778	Erysipelotrichaceae_F7
0.042201225	Erysipelotrichaceae_F7
0.035834689	Erysipelotrichaceae_F7
0.032077793	Erysipelotrichaceae_F7
0.021773818	Erysipelotrichaceae_F7
0.016644386	Erysipelotrichaceae_F7
0.016373713	Erysipelotrichaceae_F7
0.003882524	Erysipelotrichaceae_F7
0.000477987	Erysipelotrichaceae_F7
2.736127323	Erysipelotrichaceae_F7
3.621238825	Erysipelotrichaceae_F7
0.547293773	Erysipelotrichaceae_F7
0.447453452	Erysipelotrichaceae_F7
5.811634074	Erysipelotrichaceae_F7
0.786216701	Erysipelotrichaceae_F7
0.128835867	Erysipelotrichaceae_F7
0.140801638	Erysipelotrichaceae_F7
0.157515576	Erysipelotrichaceae_F7
0.111820506	Erysipelotrichaceae_F7
2.128251981	Erysipelotrichaceae_F7
0.203772686	Erysipelotrichaceae_F7
0.445874418	Erysipelotrichaceae_F7
0.214741367	Erysipelotrichaceae_F7
0.285502591	Erysipelotrichaceae_F7
0.466990978	Erysipelotrichaceae_F7
0.363411816	Erysipelotrichaceae_F7
0.357041121	Erysipelotrichaceae_F7
0.677367288	Erysipelotrichaceae_F7
0.774690718	Erysipelotrichaceae_F7
0.780677492	Erysipelotrichaceae_F7
1.078833949	Erysipelotrichaceae_F7
0.39351115	Erysipelotrichaceae_F7
0.305833704	Erysipelotrichaceae_F7
0.350373113	Erysipelotrichaceae_F7
0.81389162	Erysipelotrichaceae_F7
0.074997492	Erysipelotrichaceae_F7
1.305131672	Erysipelotrichaceae_F7
0.020269569	Erysipelotrichaceae_F7
0.421131671	Erysipelotrichaceae_F7
2.057297631	Erysipelotrichaceae_F7
0.829444941	Erysipelotrichaceae_F7
0.205790884	Erysipelotrichaceae_F7
0.759700418	Erysipelotrichaceae_F7
0.024476287	Erysipelotrichaceae_F7
0.331055266	Erysipelotrichaceae_F7
0.210066919	Erysipelotrichaceae_F7
0.433091345	Erysipelotrichaceae_F7
0.606424797	Erysipelotrichaceae_F7
0.20238627	Erysipelotrichaceae_F7
1.823330067	Erysipelotrichaceae_F7
0.087565367	Erysipelotrichaceae_F7
1.373762315	Erysipelotrichaceae_F7
0.133358279	Erysipelotrichaceae_F7
0.486649201	Erysipelotrichaceae_F7
1.275232754	Erysipelotrichaceae_F7
0.2069084	Erysipelotrichaceae_F7
1.232473101	Erysipelotrichaceae_F7
0.472112434	Erysipelotrichaceae_F7
0.910448117	Erysipelotrichaceae_F7
0.303993285	Erysipelotrichaceae_F7
0.532391894	Erysipelotrichaceae_F7
0.084758503	Erysipelotrichaceae_F7
0.074894273	Erysipelotrichaceae_F7
0.46967221	Erysipelotrichaceae_F7
4.700710666	Erysipelotrichaceae_F7
0.829151796	Erysipelotrichaceae_F7
0.06093025	Erysipelotrichaceae_F7
1.45136494	Erysipelotrichaceae_F7
0.727230413	Erysipelotrichaceae_F7
1.181906131	Erysipelotrichaceae_F7
0.145754703	Erysipelotrichaceae_F7
0.188961491	Erysipelotrichaceae_F7
0.541966808	Erysipelotrichaceae_F7
0.680685696	Erysipelotrichaceae_F7
0.756961951	Erysipelotrichaceae_F7
0.86518563	Erysipelotrichaceae_F7
0.206279443	Erysipelotrichaceae_F7
0.81276138	Erysipelotrichaceae_F7
0.146971385	Erysipelotrichaceae_F7
0.067323341	Erysipelotrichaceae_F7
0.945004138	Erysipelotrichaceae_F7
0.958212681	Erysipelotrichaceae_F7
0.137272472	Erysipelotrichaceae_F7
0.516127546	Erysipelotrichaceae_F7
1.026041314	Erysipelotrichaceae_F7
0.201625623	Erysipelotrichaceae_F7
0.139482323	Erysipelotrichaceae_F7
0.56193255	Erysipelotrichaceae_F7
0.292514988	Erysipelotrichaceae_F7
1.186285608	Erysipelotrichaceae_F7
0.681936665	Erysipelotrichaceae_F7
0.129830279	Erysipelotrichaceae_F7
0.028538595	Erysipelotrichaceae_F7
2.046868775	Erysipelotrichaceae_F7
2.32403845	Erysipelotrichaceae_F7
0.075513956	Erysipelotrichaceae_F7
0.804377056	Erysipelotrichaceae_F7
0.661543506	Erysipelotrichaceae_F7
2.288361462	Erysipelotrichaceae_F7
0.101878424	Erysipelotrichaceae_F7
0.047837426	Erysipelotrichaceae_F7
1.222645687	Erysipelotrichaceae_F7
1.478861916	Erysipelotrichaceae_F7
0.42044504	Erysipelotrichaceae_F7
0.214100972	Erysipelotrichaceae_F7
0.950007143	Erysipelotrichaceae_F7
0.833273944	Erysipelotrichaceae_F7
0.244658816	Erysipelotrichaceae_F7
0.188424994	Erysipelotrichaceae_F7
0.680685696	Erysipelotrichaceae_F7
0.931443105	Erysipelotrichaceae_F7
0.617622697	Erysipelotrichaceae_F7
1.700274846	Erysipelotrichaceae_F7
0.815024809	Erysipelotrichaceae_F7
0.003225729	Erysipelotrichaceae_F7
0.238824187	Erysipelotrichaceae_F7
4.617622697	Erysipelotrichaceae_F6
4.591590422	Erysipelotrichaceae_F6
3.819300799	Erysipelotrichaceae_F6
1.604673607	Erysipelotrichaceae_F6
1.433562508	Erysipelotrichaceae_F6
1.429807439	Erysipelotrichaceae_F6
1.396855627	Erysipelotrichaceae_F6
1.291069464	Erysipelotrichaceae_F6
1.16678912	Erysipelotrichaceae_F6
1.113791376	Erysipelotrichaceae_F6
1.095446737	Erysipelotrichaceae_F6
1.037583307	Erysipelotrichaceae_F6
0.983384452	Erysipelotrichaceae_F6
0.908333042	Erysipelotrichaceae_F6
0.859806321	Erysipelotrichaceae_F6
0.852942329	Erysipelotrichaceae_F6
0.840733669	Erysipelotrichaceae_F6
0.715794932	Erysipelotrichaceae_F6
0.668167956	Erysipelotrichaceae_F6
0.660151217	Erysipelotrichaceae_F6
0.656591406	Erysipelotrichaceae_F6
0.647431614	Erysipelotrichaceae_F6
0.634699251	Erysipelotrichaceae_F6
0.622147581	Erysipelotrichaceae_F6
0.618704377	Erysipelotrichaceae_F6
0.609418121	Erysipelotrichaceae_F6
0.606775884	Erysipelotrichaceae_F6
0.59722293	Erysipelotrichaceae_F6
0.511167366	Erysipelotrichaceae_F6
0.509479691	Erysipelotrichaceae_F6
0.499763525	Erysipelotrichaceae_F6
0.468776625	Erysipelotrichaceae_F6
0.449282577	Erysipelotrichaceae_F6
0.433916216	Erysipelotrichaceae_F6
0.403732874	Erysipelotrichaceae_F6
0.389872387	Erysipelotrichaceae_F6
0.386158178	Erysipelotrichaceae_F6
0.380384994	Erysipelotrichaceae_F6
0.376957566	Erysipelotrichaceae_F6
0.369877357	Erysipelotrichaceae_F6
0.364918564	Erysipelotrichaceae_F6
0.327255802	Erysipelotrichaceae_F6
0.316772794	Erysipelotrichaceae_F6
0.305219364	Erysipelotrichaceae_F6
0.293452897	Erysipelotrichaceae_F6
0.293196903	Erysipelotrichaceae_F6
0.285335007	Erysipelotrichaceae_F6
0.284832642	Erysipelotrichaceae_F6
0.276052024	Erysipelotrichaceae_F6
0.264241463	Erysipelotrichaceae_F6
0.261695207	Erysipelotrichaceae_F6
0.259558355	Erysipelotrichaceae_F6
0.25703933	Erysipelotrichaceae_F6
0.241088108	Erysipelotrichaceae_F6
0.204467557	Erysipelotrichaceae_F6
0.203564441	Erysipelotrichaceae_F6
0.202940305	Erysipelotrichaceae_F6
0.187353984	Erysipelotrichaceae_F6
0.178945245	Erysipelotrichaceae_F6
0.177962752	Erysipelotrichaceae_F6
0.170374647	Erysipelotrichaceae_F6
0.160082224	Erysipelotrichaceae_F6
0.113678513	Erysipelotrichaceae_F6
0.092857469	Erysipelotrichaceae_F6
0.082231998	Erysipelotrichaceae_F6
0.07841756	Erysipelotrichaceae_F6
0.078261516	Erysipelotrichaceae_F6
0.069050969	Erysipelotrichaceae_F6
0.062231433	Erysipelotrichaceae_F6
0.043063586	Erysipelotrichaceae_F6
0.03881629	Erysipelotrichaceae_F6
