ST	ID MOUSE	STRAIN	TREATMENT	SAMPLE	ABUND	RATIO
C	200-10	4-8-110	GalNAc	CAECUM	1.0899814	0.01096146
C	200-6	4-8-110	GalNAc	CAECUM	1.6349722	0.016435482
C	200-7	4-8-110	GalNAc	CAECUM	0.1623377	0.001630467
C	200-8	4-8-110	GalNAc	CAECUM	0.8986549	0.009049509
C	200-9	4-8-110	GalNAc	CAECUM	0.8290816	0.008348415
C	C-10	4-8-110	PBS	CAECUM	0.0058	5.80303E-05
C	C-6	4-8-110	PBS	CAECUM	0.0058	5.8037E-05
C	C-7	4-8-110	PBS	CAECUM	0.0058	5.87356E-05
C	C-8	4-8-110	PBS	CAECUM	0.0173933	0.000174074
C	C-9	4-8-110	PBS	CAECUM	0.0115955	0.000116083
F	200-10	4-8-110	GalNAc	FECES	0.5217996	0.005220115
F	200-6	4-8-110	GalNAc	FECES	1.9654453	0.019664714
F	200-7	4-8-110	GalNAc	FECES	0.0115955	0.000116022
F	200-8	4-8-110	GalNAc	FECES	0.5913729	0.005917503
F	200-9	4-8-110	GalNAc	FECES	0.3536642	0.003546306
F	C-10	4-8-110	PBS	FECES	0	0
F	C-6	4-8-110	PBS	FECES	0	0
F	C-7	4-8-110	PBS	FECES	0	0
F	C-8	4-8-110	PBS	FECES	0.0115955	0.000116002
F	C-9	4-8-110	PBS	FECES	0	0
C	200-10	E.coli	GalNAc	CAECUM	98.3476345	0.98903854
C	200-6	E.coli	GalNAc	CAECUM	97.8432282	0.983564518
C	200-7	E.coli	GalNAc	CAECUM	99.4028293	0.998369533
C	200-8	E.coli	GalNAc	CAECUM	98.4056122	0.990950491
C	200-9	E.coli	GalNAc	CAECUM	98.4809833	0.991651585
C	C-10	E.coli	PBS	CAECUM	99.9420223	0.99994197
C	C-6	E.coli	PBS	CAECUM	99.9304267	0.999941963
C	C-7	E.coli	PBS	CAECUM	98.7418831	0.999941264
C	C-8	E.coli	PBS	CAECUM	99.9014378	0.999825926
C	C-9	E.coli	PBS	CAECUM	99.8782468	0.999883917
F	200-10	E.coli	GalNAc	FECES	99.437616	0.994779885
F	200-6	E.coli	GalNAc	FECES	97.9823748	0.980335286
F	200-7	E.coli	GalNAc	FECES	99.9304267	0.999883978
F	200-8	E.coli	GalNAc	FECES	99.3448516	0.994082497
F	200-9	E.coli	GalNAc	FECES	99.3738404	0.996453694
F	C-10	E.coli	PBS	FECES	99.9594156	1
F	C-6	E.coli	PBS	FECES	99.9594156	1
F	C-7	E.coli	PBS	FECES	99.9362245	1
F	C-8	E.coli	PBS	FECES	99.94782	0.999883998
F	C-9	E.coli	PBS	FECES	99.9304267	1
