Gene	Cond	Pos_1	GalNac	FPKM	Pos_2	Type
	N	1	N	0	1	NN
	N	1	N	0	1	NN
	N	1	N	0	1	NN
	Y	1	N	0	2	YN
	Y	1	N	0	2	YN
	Y	1	N	0	2	YN
	N	2	N	0	3	NN
	N	2	N	0	3	NN
	N	2	N	0	3	NN
	Y	2	N	0	4	YN
	Y	2	N	0	4	YN
	Y	2	N	0	4	YN
	N	3	N	0	5	NN
	N	3	N	0	5	NN
	N	3	N	0	5	NN
	Y	3	N	0	6	YN
	Y	3	N	0	6	YN
	Y	3	N	0	6	YN
	N	4	N	0	7	NN
	N	4	N	0	7	NN
	N	4	N	0	7	NN
	Y	4	N	0	8	YN
	Y	4	N	0	8	YN
	Y	4	N	0	8	YN
	N	5	N	0	9	NN
	N	5	N	0	9	NN
	N	5	N	0	9	NN
	Y	5	N	0	10	YN
	Y	5	N	0	10	YN
	Y	5	N	0	10	YN
	N	6	N	0	11	NN
	N	6	N	0	11	NN
	N	6	N	0	11	NN
	Y	6	N	0	12	YN
	Y	6	N	0	12	YN
	Y	6	N	0	12	YN
	N	7	N	0	13	NN
	N	7	N	0	13	NN
	N	7	N	0	13	NN
	Y	7	N	0	14	YN
	Y	7	N	0	14	YN
	Y	7	N	0	14	YN
	N	8	N	0	15	NN
	N	8	N	0	15	NN
	N	8	N	0	15	NN
	Y	8	N	0	16	YN
	Y	8	N	0	16	YN
	Y	8	N	0	16	YN
	N	9	N	0	17	NN
	N	9	N	0	17	NN
	N	9	N	0	17	NN
	Y	9	N	0	18	YN
	Y	9	N	0	18	YN
	Y	9	N	0	18	YN
	N	10	N	0	19	NN
	N	10	N	0	19	NN
	N	10	N	0	19	NN
	Y	10	N	0	20	YN
	Y	10	N	0	20	YN
	Y	10	N	0	20	YN
	N	11	N	0	21	NN
	N	11	N	0	21	NN
	N	11	N	0	21	NN
	Y	11	N	0	22	YN
	Y	11	N	0	22	YN
	Y	11	N	0	22	YN
	N	12	N	0	23	NN
	N	12	N	0	23	NN
	N	12	N	0	23	NN
	Y	12	N	0	24	YN
	Y	12	N	0	24	YN
	Y	12	N	0	24	YN
	N	13	N	0	25	NN
	N	13	N	0	25	NN
	N	13	N	0	25	NN
	Y	13	N	0	26	YN
	Y	13	N	0	26	YN
	Y	13	N	0	26	YN
	N	14	N	0	27	NN
	N	14	N	0	27	NN
	N	14	N	0	27	NN
	Y	14	N	0	28	YN
	Y	14	N	0	28	YN
	Y	14	N	0	28	YN
	N	15	N	0	29	NN
	N	15	N	0	29	NN
	N	15	N	0	29	NN
	Y	15	N	0	30	YN
	Y	15	N	0	30	YN
	Y	15	N	0	30	YN
	N	16	N	0	31	NN
	N	16	N	0	31	NN
	N	16	N	0	31	NN
	Y	16	N	0	32	YN
	Y	16	N	0	32	YN
	Y	16	N	0	32	YN
	N	17	N	0	33	NN
	N	17	N	0	33	NN
	N	17	N	0	33	NN
	Y	17	N	0	34	YN
	Y	17	N	0	34	YN
	Y	17	N	0	34	YN
	N	18	N	0	35	NN
	N	18	N	0	35	NN
	N	18	N	0	35	NN
	Y	18	N	0	36	YN
	Y	18	N	0	36	YN
	Y	18	N	0	36	YN
	N	19	N	0	37	NN
	N	19	N	0	37	NN
	N	19	N	0	37	NN
	Y	19	N	0	38	YN
	Y	19	N	0	38	YN
	Y	19	N	0	38	YN
yhaV	N	20	N	414.5740433	39	NN
yhaV	N	20	N	414.8756013	39	NN
yhaV	N	20	N	411.2829831	39	NN
yhaV	Y	20	N	529.9649315	40	YN
yhaV	Y	20	N	525.0555521	40	YN
yhaV	Y	20	N	466.7267363	40	YN
agaR	N	21	Y	32.25714916	41	NY
agaR	N	21	Y	36.29813598	41	NY
agaR	N	21	Y	40.55607653	41	NY
agaR	Y	21	Y	370.4385918	42	YY
agaR	Y	21	Y	402.15266	42	YY
agaR	Y	21	Y	310.789414	42	YY
gatZ	N	22	Y	4.531725343	43	NY
gatZ	N	22	Y	3.196345777	43	NY
gatZ	N	22	Y	3.781732376	43	NY
gatZ	Y	22	Y	2003.802395	44	YY
gatZ	Y	22	Y	1905.127796	44	YY
gatZ	Y	22	Y	1377.387814	44	YY
agaV	N	23	Y	4.859972678	45	NY
agaV	N	23	Y	3.302850969	45	NY
agaV	N	23	Y	3.306551931	45	NY
agaV	Y	23	Y	1837.115866	46	YY
agaV	Y	23	Y	1925.057473	46	YY
agaV	Y	23	Y	1319.112802	46	YY
agaW	N	24	Y	1.378001731	47	NY
agaW	N	24	Y	0.899238137	47	NY
agaW	N	24	Y	2.131760025	47	NY
agaW	Y	24	Y	739.8614294	48	YY
agaW	Y	24	Y	761.2832082	48	YY
agaW	Y	24	Y	560.0450107	48	YY
agaE	N	25	Y	3.151061978	49	NY
agaE	N	25	Y	2.878789669	49	NY
agaE	N	25	Y	3.737249373	49	NY
agaE	Y	25	Y	2002.490693	50	YY
agaE	Y	25	Y	1905.351407	50	YY
agaE	Y	25	Y	1377.820062	50	YY
agaF	N	26	Y	2.334683392	51	NY
agaF	N	26	Y	1.662040144	51	NY
agaF	N	26	Y	2.955060449	51	NY
agaF	Y	26	Y	150.628849	52	YY
agaF	Y	26	Y	205.7495411	52	YY
agaF	Y	26	Y	171.2766758	52	YY
agaA	N	27	N	15.57087273	53	NN
agaA	N	27	N	16.01857142	53	NN
agaA	N	27	N	21.82093248	53	NN
agaA	Y	27	N	138.458743	54	YN
agaA	Y	27	N	165.6264568	54	YN
agaA	Y	27	N	151.6900651	54	YN
agaS	N	28	Y	8.313347239	55	NY
agaS	N	28	Y	12.51926342	55	NY
agaS	N	28	Y	10.88212737	55	NY
agaS	Y	28	Y	3569.347527	56	YY
agaS	Y	28	Y	3285.883994	56	YY
agaS	Y	28	Y	2279.365097	56	YY
gatY	N	29	Y	5.244029055	57	NY
gatY	N	29	Y	5.454882786	57	NY
gatY	N	29	Y	10.09456684	57	NY
gatY	Y	29	Y	2462.038746	58	YY
gatY	Y	29	Y	2384.595298	58	YY
gatY	Y	29	Y	1611.102576	58	YY
agaB	N	30	N	1.161334792	59	NN
agaB	N	30	N	0.505232329	59	NN
agaB	N	30	N	0.898288816	59	NN
agaB	Y	30	N	566.5359737	60	YN
agaB	Y	30	N	559.7417655	60	YN
agaB	Y	30	N	429.594879	60	YN
agaC	N	31	N	0.689000865	61	NN
agaC	N	31	N	3.297206504	61	NN
agaC	N	31	N	4.26352005	61	NN
agaC	Y	31	N	155.0467823	62	YN
agaC	Y	31	N	163.3105488	62	YN
agaC	Y	31	N	134.6313774	62	YN
agaD	N	32	N	4.080068256	63	NN
agaD	N	32	N	3.955739484	63	NN
agaD	N	32	N	4.688795409	63	NN
agaD	Y	32	N	85.10455785	64	YN
agaD	Y	32	N	94.93803601	64	YN
agaD	Y	32	N	89.97637527	64	YN
agaI	N	33	Y	3.297361285	65	NY
agaI	N	33	Y	3.98471926	65	NY
agaI	N	33	Y	3.778516447	65	NY
agaI	Y	33	Y	40.60130703	66	YY
agaI	Y	33	Y	49.81246821	66	YY
agaI	Y	33	Y	58.07276421	66	YY
pfkA	N	34	N	285.7987037	67	NN
pfkA	N	34	N	203.457531	67	NN
pfkA	N	34	N	242.6443197	67	NN
pfkA	Y	34	N	252.6496286	68	YN
pfkA	Y	34	N	241.4089114	68	YN
pfkA	Y	34	N	204.3682195	68	YN
	N	35	N	0	69	NN
	N	35	N	0	69	NN
	N	35	N	0	69	NN
	Y	35	N	0	70	YN
	Y	35	N	0	70	YN
	Y	35	N	0	70	YN
	N	36	N	0	71	NN
	N	36	N	0	71	NN
	N	36	N	0	71	NN
	Y	36	N	0	72	YN
	Y	36	N	0	72	YN
	Y	36	N	0	72	YN
	N	37	N	0	73	NN
	N	37	N	0	73	NN
	N	37	N	0	73	NN
	Y	37	N	0	74	YN
	Y	37	N	0	74	YN
	Y	37	N	0	74	YN
	N	38	N	0	75	NN
	N	38	N	0	75	NN
	N	38	N	0	75	NN
	Y	38	N	0	76	YN
	Y	38	N	0	76	YN
	Y	38	N	0	76	YN
	N	39	N	0	77	NN
	N	39	N	0	77	NN
	N	39	N	0	77	NN
	Y	39	N	0	78	YN
	Y	39	N	0	78	YN
	Y	39	N	0	78	YN
	N	40	N	0	79	NN
	N	40	N	0	79	NN
	N	40	N	0	79	NN
	Y	40	N	0	80	YN
	Y	40	N	0	80	YN
	Y	40	N	0	80	YN
	N	41	N	0	81	NN
	N	41	N	0	81	NN
	N	41	N	0	81	NN
	Y	41	N	0	82	YN
	Y	41	N	0	82	YN
	Y	41	N	0	82	YN
	N	42	N	0	83	NN
	N	42	N	0	83	NN
	N	42	N	0	83	NN
	Y	42	N	0	84	YN
	Y	42	N	0	84	YN
	Y	42	N	0	84	YN
	N	43	N	0	85	NN
	N	43	N	0	85	NN
	N	43	N	0	85	NN
	Y	43	N	0	86	YN
	Y	43	N	0	86	YN
	Y	43	N	0	86	YN
pfkA	N	44	Y	23.65431772	87	ZN
pfkA	N	44	Y	23.65431772	87	ZN
pfkA	N	44	Y	23.65431772	87	ZN
pfkA	Y	44	Y	14.64151739	88	ZY
pfkA	Y	44	Y	14.64151739	88	ZY
pfkA	Y	44	Y	14.64151739	88	ZY
	N	45	N	0	89	NN
	N	45	N	0	89	NN
	N	45	N	0	89	NN
	Y	45	N	0	90	YN
	Y	45	N	0	90	YN
	Y	45	N	0	90	YN
	N	46	N	0	91	NN
	N	46	N	0	91	NN
	N	46	N	0	91	NN
	Y	46	N	0	92	YN
	Y	46	N	0	92	YN
	Y	46	N	0	92	YN
	N	47	N	0	93	NN
	N	47	N	0	93	NN
	N	47	N	0	93	NN
	Y	47	N	0	94	YN
	Y	47	N	0	94	YN
	Y	47	N	0	94	YN
	N	48	N	0	95	NN
	N	48	N	0	95	NN
	N	48	N	0	95	NN
	Y	48	N	0	96	YN
	Y	48	N	0	96	YN
	Y	48	N	0	96	YN
	N	49	N	0	97	NN
	N	49	N	0	97	NN
	N	49	N	0	97	NN
	Y	49	N	0	98	YN
	Y	49	N	0	98	YN
	Y	49	N	0	98	YN
	N	50	N	0	99	NN
	N	50	N	0	99	NN
	N	50	N	0	99	NN
	Y	50	N	0	100	YN
	Y	50	N	0	100	YN
	Y	50	N	0	100	YN
	N	51	N	0	101	NN
	N	51	N	0	101	NN
	N	51	N	0	101	NN
	Y	51	N	0	102	YN
	Y	51	N	0	102	YN
	Y	51	N	0	102	YN
