Gene	Cond	Pos_1	GalNac	FPKM	Pos_2	Type
	N	1	N	0	1	NN
	N	1	N	0	1	NN
	N	1	N	0	1	NN
	Y	1	N	0	2	YN
	Y	1	N	0	2	YN
	Y	1	N	0	2	YN
	N	2	N	0	3	NN
	N	2	N	0	3	NN
	N	2	N	0	3	NN
	Y	2	N	0	4	YN
	Y	2	N	0	4	YN
	Y	2	N	0	4	YN
	N	3	N	0	5	NN
	N	3	N	0	5	NN
	N	3	N	0	5	NN
	Y	3	N	0	6	YN
	Y	3	N	0	6	YN
	Y	3	N	0	6	YN
gatZ	N	22	Y	1463.054963	7	NY
gatZ	N	22	Y	1698.811651	7	NY
gatZ	N	22	Y	1683.285133	7	NY
gatZ	Y	22	Y	2790.799054	8	YY
gatZ	Y	22	Y	1886.00062	8	YY
gatZ	Y	22	Y	2062.394111	8	YY
	N	5	N	0	9	NN
	N	5	N	0	9	NN
	N	5	N	0	9	NN
	Y	5	N	0	10	YN
	Y	5	N	0	10	YN
	Y	5	N	0	10	YN
	N	6	N	0	11	NN
	N	6	N	0	11	NN
	N	6	N	0	11	NN
	Y	6	N	0	12	YN
	Y	6	N	0	12	YN
	Y	6	N	0	12	YN
	N	7	N	0	13	NN
	N	7	N	0	13	NN
	N	7	N	0	13	NN
	Y	7	N	0	14	YN
	Y	7	N	0	14	YN
	Y	7	N	0	14	YN
	N	8	N	0	15	NN
	N	8	N	0	15	NN
	N	8	N	0	15	NN
	Y	8	N	0	16	YN
	Y	8	N	0	16	YN
	Y	8	N	0	16	YN
nirA	N	19	N	665.8555792	17	NN
nirA	N	19	N	765.8346318	17	NN
nirA	N	19	N	677.1203163	17	NN
nirA	Y	19	N	724.6806661	18	YN
nirA	Y	19	N	910.0090497	18	YN
nirA	Y	19	N	921.8847985	18	YN
MET8	N	18	N	114.8958746	19	NN
MET8	N	18	N	100.0362305	19	NN
MET8	N	18	N	114.5278984	19	NN
MET8	Y	18	N	85.47939947	20	YN
MET8	Y	18	N	140.7383287	20	YN
MET8	Y	18	N	119.03474	20	YN
cobA-hemD	N	17	N	61.29332158	21	NN
cobA-hemD	N	17	N	57.25755023	21	NN
cobA-hemD	N	17	N	57.56523444	21	NN
cobA-hemD	Y	17	N	60.28213447	22	YN
cobA-hemD	Y	17	N	74.56089899	22	YN
cobA-hemD	Y	17	N	76.33085523	22	YN
bioY	N	16	N	7.974090937	23	NN
bioY	N	16	N	6.706136963	23	NN
bioY	N	16	N	6.887045166	23	NN
bioY	Y	16	N	4.258824793	24	YN
bioY	Y	16	N	7.123554255	24	YN
bioY	Y	16	N	3.477524975	24	YN
	N	8	N	0	25	NN
	N	8	N	0	25	NN
	N	8	N	0	25	NN
	Y	8	N	0	26	YN
	Y	8	N	0	26	YN
	Y	8	N	0	26	YN
nagA	N	15	Y	4546.809865	27	NY
nagA	N	15	Y	5029.690961	27	NY
nagA	N	15	Y	3624.900927	27	NY
nagA	Y	15	Y	4272.002376	28	YY
nagA	Y	15	Y	6158.96156	28	YY
nagA	Y	15	Y	5556.890443	28	YY
	N	15	N	0	29	NN
	N	15	N	0	29	NN
	N	15	N	0	29	NN
	Y	15	N	0	30	YN
	Y	15	N	0	30	YN
	Y	15	N	0	30	YN
	N	16	N	0	31	NN
	N	16	N	0	31	NN
	N	16	N	0	31	NN
	Y	16	N	0	32	YN
	Y	16	N	0	32	YN
	Y	16	N	0	32	YN
	N	17	N	0	33	NN
	N	17	N	0	33	NN
	N	17	N	0	33	NN
	Y	17	N	0	34	YN
	Y	17	N	0	34	YN
	Y	17	N	0	34	YN
	N	18	N	0	35	NN
	N	18	N	0	35	NN
	N	18	N	0	35	NN
	Y	18	N	0	36	YN
	Y	18	N	0	36	YN
	Y	18	N	0	36	YN
	N	19	N	0	37	NN
	N	19	N	0	37	NN
	N	19	N	0	37	NN
	Y	19	N	0	38	YN
	Y	19	N	0	38	YN
	Y	19	N	0	38	YN
gltD	N	14	N	4.518651531	39	NN
gltD	N	14	N	3.562635262	39	NN
gltD	N	14	N	3.934131984	39	NN
gltD	Y	14	N	8.81184472	40	YN
gltD	Y	14	N	3.105139034	40	YN
gltD	Y	14	N	6.466023	40	YN
	N	14	N	0	41	NN
	N	14	N	0	41	NN
	N	14	N	0	41	NN
	Y	14	N	0	42	YN
	Y	14	N	0	42	YN
	Y	14	N	0	42	YN
	N		N	0	43	NN
	N		N	0	43	NN
	N		N	0	43	NN
	N		N	0	44	NN
	N		N	0	44	NN
	N		N	0	44	NN
	N	14	N	0	45	NN
	N	14	N	0	45	NN
	N	14	N	0	45	NN
	Y	14	N	0	46	YN
	Y	14	N	0	46	YN
	Y	14	N	0	46	YN
	N	24	Y	0	47	NY
	N	24	Y	0	47	NY
	N	24	Y	0	47	NY
	Y	24	Y	0	48	YY
	Y	24	Y	0	48	YY
	Y	24	Y	0	48	YY
	N	25	Y	0	49	NY
	N	25	Y	0	49	NY
	N	25	Y	0	49	NY
	Y	25	Y	0	50	YY
	Y	25	Y	0	50	YY
	Y	25	Y	0	50	YY
agaS	N	13	Y	3230.962968	51	NY
agaS	N	13	Y	3716.366162	51	NY
agaS	N	13	Y	3500.318973	51	NY
agaS	Y	13	Y	6875.224546	52	YY
agaS	Y	13	Y	5533.024215	52	YY
agaS	Y	13	Y	4730.851435	52	YY
agaF	N	12	Y	9489.54477	53	NY
agaF	N	12	Y	10052.43721	53	NY
agaF	N	12	Y	9268.552678	53	NY
agaF	Y	12	Y	13990.45737	54	YY
agaF	Y	12	Y	14831.24376	54	YY
agaF	Y	12	Y	16326.1949	54	YY
	N	28	Y	0	55	NY
	N	28	Y	0	55	NY
	N	28	Y	0	55	NY
	Y	28	Y	0	56	YY
	Y	28	Y	0	56	YY
	Y	28	Y	0	56	YY
	N	28	Y	0	57	NY
	N	28	Y	0	57	NY
	N	28	Y	0	57	NY
	Y	28	Y	0	58	YY
	Y	28	Y	0	58	YY
	Y	28	Y	0	58	YY
agaV	N	10	Y	4657.450865	59	NY
agaV	N	10	Y	4439.954734	59	NY
agaV	N	10	Y	3867.979183	59	NY
agaV	Y	10	Y	2977.723492	60	YY
agaV	Y	10	Y	5184.703374	60	YY
agaV	Y	10	Y	4570.949593	60	YY
agaW	N	9	Y	5546.558521	61	NY
agaW	N	9	Y	4972.387259	61	NY
agaW	N	9	Y	4115.666648	61	NY
agaW	Y	9	Y	3405.040785	62	YY
agaW	Y	9	Y	6392.082774	62	YY
agaW	Y	9	Y	5016.844105	62	YY
agaE	N	8	Y	5505.035505	63	NY
agaE	N	8	Y	5277.054519	63	NY
agaE	N	8	Y	4230.765535	63	NY
agaE	Y	8	Y	3077.794773	64	YY
agaE	Y	8	Y	5690.652458	64	YY
agaE	Y	8	Y	4345.193115	64	YY
nagB	N	7	N	1438.158475	65	NN
nagB	N	7	N	1532.099321	65	NN
nagB	N	7	N	1458.95099	65	NN
nagB	Y	7	N	1000.302658	66	YN
nagB	Y	7	N	1196.245229	66	YN
nagB	Y	7	N	1089.150447	66	YN
dnaX	N	6	N	223.5970937	67	NN
dnaX	N	6	N	185.9508802	67	NN
dnaX	N	6	N	231.8397239	67	NN
dnaX	Y	6	N	232.9844965	68	YN
dnaX	Y	6	N	191.5417225	68	YN
dnaX	Y	6	N	202.5951348	68	YN
recR	N	5	N	92.12516081	69	NN
recR	N	5	N	91.70756347	69	NN
recR	N	5	N	98.65839554	69	NN
recR	Y	5	N	113.3437501	70	YN
recR	Y	5	N	101.4715077	70	YN
recR	Y	5	N	88.22445376	70	YN
	N	36	N	0	71	NN
	N	36	N	0	71	NN
	N	36	N	0	71	NN
	Y	36	N	0	72	YN
	Y	36	N	0	72	YN
	Y	36	N	0	72	YN
	N	36	N	0	73	NN
	N	36	N	0	73	NN
	N	36	N	0	73	NN
	Y	36	N	0	74	YN
	Y	36	N	0	74	YN
	Y	36	N	0	74	YN
	N	38	N	0	75	NN
	N	38	N	0	75	NN
	N	38	N	0	75	NN
	Y	38	N	0	76	YN
	Y	38	N	0	76	YN
	Y	38	N	0	76	YN
	N	39	N	0	77	NN
	N	39	N	0	77	NN
	N	39	N	0	77	NN
	Y	39	N	0	78	YN
	Y	39	N	0	78	YN
	Y	39	N	0	78	YN
ppaC	N	4	N	90.37303062	79	NN
ppaC	N	4	N	92.72636696	79	NN
ppaC	N	4	N	112.0299337	79	NN
ppaC	Y	4	N	170.0465712	80	YN
ppaC	Y	4	N	109.1159812	80	YN
ppaC	Y	4	N	116.1047255	80	YN
	N	41	N	0	81	NN
	N	41	N	0	81	NN
	N	41	N	0	81	NN
	Y	41	N	0	82	YN
	Y	41	N	0	82	YN
	Y	41	N	0	82	YN
	N	42	N	0	83	NN
	N	42	N	0	83	NN
	N	42	N	0	83	NN
	Y	42	N	0	84	YN
	Y	42	N	0	84	YN
	Y	42	N	0	84	YN
	N	43	N	0	85	NN
	N	43	N	0	85	NN
	N	43	N	0	85	NN
	Y	43	N	0	86	YN
	Y	43	N	0	86	YN
	Y	43	N	0	86	YN
	N	43	N	0	87	NN
	N	43	N	0	87	NN
	N	43	N	0	87	NN
	Y	43	N	0	88	YN
	Y	43	N	0	88	YN
	Y	43	N	0	88	YN
	N	43	N	0	89	NN
	N	43	N	0	89	NN
	N	43	N	0	89	NN
	Y	43	N	0	90	YN
	Y	43	N	0	90	YN
	Y	43	N	0	90	YN
fruA	N	3	N	110.3411669	91	NN
fruA	N	3	N	166.6031508	91	NN
fruA	N	3	N	97.83624224	91	NN
fruA	Y	3	N	92.72283453	92	YN
fruA	Y	3	N	96.62896947	92	YN
fruA	Y	3	N	84.27823176	92	YN
fruK	N	2	Y	138.2527819	93	NY
fruK	N	2	Y	185.2255755	93	NY
fruK	N	2	Y	131.5615421	93	NY
fruK	Y	2	Y	115.3252346	94	YY
fruK	Y	2	Y	111.1989359	94	YY
fruK	Y	2	Y	119.5327241	94	YY
fruR	N	1	N	323.4586849	95	NN
fruR	N	1	N	448.9745751	95	NN
fruR	N	1	N	298.4958086	95	NN
fruR	Y	1	N	408.8592963	96	YN
fruR	Y	1	N	402.8288477	96	YN
fruR	Y	1	N	465.0686151	96	YN
	N		N	0	97	NN
	N		N	0	97	NN
	N		N	0	97	NN
	Y		N	0	98	YN
	Y		N	0	98	YN
	Y		N	0	98	YN
	N	50	N	0	99	NN
	N	50	N	0	99	NN
	N	50	N	0	99	NN
	Y	50	N	0	100	YN
	Y	50	N	0	100	YN
	Y	50	N	0	100	YN
	N	51	N	0	101	NN
	N	51	N	0	101	NN
	N	51	N	0	101	NN
	Y	51	N	0	102	YN
	Y	51	N	0	102	YN
	Y	51	N	0	102	YN
