Geneid	Start	end	gene_names	5GA00A11	5GA00A12	5GA00A13	5GA02A11	5GA02A12	5GA02A13	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M_minus	M_plus	Log2fold	Obs_log(1/p)	GalNAc_gene	YmN	Rank	Exp_log(1/p)
a4-8-110_00705	140356	141186	inference=ab initio prediction:Prodigal:2.6.3	103.4691982	101.6660315	102.9135478	60.55349201	62.86799126	63.40030079	590.8466841	-0.721525686	0.133693104	-5.396880368	6.78E-08	2.61E-06	102.6829258	62.27392802	-0.721496122	5.609030693	FALSE	FALSE	1	3.364926034
a4-8-110_00910	172759	173562	"PTS-Gam-EIIC, agaC"	852.8412014	913.8950326	892.2289533	139.1161554	127.6098127	150.7669256	3907.58118	-2.670939799	0.22641722	-11.79654002	4.07E-32	5.28E-30	886.3217291	139.1642979	-2.671041342	5.595077783	FALSE	FALSE	2	3.063896038
a4-8-110_00690	135613	136956	TC.LIVCS	2862.368012	3033.657537	2960.78719	728.1100274	595.048455	671.3624098	31513.37786	-2.150730053	0.206132547	-10.43372374	1.74E-25	1.75E-23	2952.270913	664.8402974	-2.150745381	5.468399246	FALSE	FALSE	3	2.887804779
a4-8-110_07310	1482111	1483427	gatZ-kbaZ	42.5065086	46.18486263	51.47951375	259.1310866	243.6091218	244.236718	4512.553493	2.413169524	0.10962526	22.01289673	2.17E-107	4.78E-104	46.72362833	248.9923088	2.413876963	5.423728952	TRUE	TRUE	4	2.762866042
a4-8-110_07455	1514018	1514650	inference=ab initio prediction:Prodigal:2.6.3	140.7324672	126.7072913	110.6808596	742.9817575	807.5719661	816.9220142	3861.516835	2.646692529	0.177993748	14.8695814	5.19E-50	1.43E-47	126.040206	789.1585793	2.646431217	4.933476375	FALSE	TRUE	5	2.665956029
a4-8-110_07235	1464818	1466131	inference=ab initio prediction:Prodigal:2.6.3	378.0108877	422.933789	387.4083053	42.90312808	38.11661324	40.03532985	4691.536855	-3.295124414	0.231093717	-14.25882302	3.95E-46	8.72E-44	396.1176607	40.35169039	-3.295228008	4.877575068	FALSE	FALSE	6	2.586774783
a4-8-110_00900	171301	171921	inference=ab initio prediction:Prodigal:2.6.3	504.0385492	515.5421644	462.0868188	80.50349053	77.46698566	89.17770107	1309.298241	-2.58341553	0.167201337	-15.45092625	7.44E-54	2.74E-51	493.8891775	82.38272575	-2.58377359	4.801657761	FALSE	FALSE	7	2.519827994
a4-8-110_07420	1506773	1507945	agaS	48.36769636	43.98701874	39.02574462	427.1715013	384.7455975	434.2938282	6770.286744	3.24609889	0.183523325	17.68766386	5.22E-70	2.30E-67	43.79348657	415.4036423	3.245725648	4.723756876	TRUE	TRUE	8	2.461836047
a4-8-110_04905	1003756	1005321	mhpE	1049.63707	1073.948345	1026.729315	1839.876631	1886.072697	1776.930913	12808.64509	0.804691038	0.223362382	3.602625619	0.000315019	0.005004044	1050.10491	1834.293414	0.804690964	4.656697878	FALSE	TRUE	9	2.410683524
a4-8-110_06000	1235266	1236579	gene=NorM	292.5486658	302.259746	279.7374933	114.2630479	116.950255	127.3412901	2690.380566	-1.286301612	0.227539495	-5.65309161	1.58E-08	6.82E-07	291.5153017	119.5181977	-1.286341315	4.636212346	FALSE	FALSE	10	2.364926034
