Geneid	Start	End	gene_name	4GC00A11	4GC00A12	4GC00A13	4GC02A11	4GC02A12	4GC02A13	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M_minus	M_plus	Log2fold	Obs_log(1/p)	GalNAc_gene	YmN
gene-b3137	3283143	3284003	kbaY	5.254331803	5.458093503	10.11905136	2460.42708	2384.875186	1611.608168	12808.98563	8.293596293	0.30729158	26.98933793	1.97E-160	8.33E-157	6.943825555	2152.303478	8.275935095	2.859410701	TRUE	TRUE
agaE	NA	NA	agaE	3.151061978	2.878789669	3.737249373	698.6829697	774.5855808	526.4070195	2655.407745	7.685905324	0.285608154	26.91066489	1.65E-159	3.48E-156	3.25570034	666.5585233	7.67761982	3.080061141	TRUE	TRUE
gene-b3136	3281976	3283130	agaS	8.313347239	12.51926342	10.88212737	3569.347527	3285.883994	2279.365097	22310.68689	8.173617073	0.312418948	26.16236028	7.13E-151	1.00E-147	10.57157934	3044.865539	8.170043786	2.82629157	TRUE	TRUE
gene-b3132	3278914	3280194	kbaZ	4.540628654	3.198227131	3.790905025	2002.490693	1905.351407	1377.820062	9393.38847	8.835496888	0.364935479	24.21112058	1.70E-129	1.79E-126	3.843253603	1761.887387	8.840577823	3.084611745	TRUE	TRUE
gene-b3133	3280217	3280690	agaV	3.700835872	2.033720007	1.506623646	1646.92998	1736.727468	1188.121608	3024.351981	9.247462851	0.416129958	22.22253574	2.08E-109	1.76E-106	2.413726508	1523.926352	9.302315249	3.065512974	TRUE	TRUE
gene-b3134	3280701	3281102	agaW	1.378001731	0.899238137	2.131760025	739.8614294	761.2832082	560.0450107	1254.934771	8.903406328	0.452827147	19.66182106	4.58E-86	3.22E-83	1.469666631	687.0632161	8.868810095	3.371221606	TRUE	TRUE
gene-b3138	3284170	3284646	agaB	1.161334792	0.505232329	0.898288816	566.5359737	559.7417655	429.594879	1506.766706	9.205472942	0.496640521	18.53548501	1.07E-76	6.44E-74	0.854951979	518.6242061	9.244630439	3.503824927	FALSE	TRUE
gene-b3139	3284685	3285488	agaC	0.689000865	3.297206504	4.26352005	155.0467823	163.3105488	134.6313774	971.5127716	5.858942676	0.318989804	18.3671785	2.41E-75	1.27E-72	2.74990914	150.9962362	5.778984827	4.179534664	FALSE	TRUE
agaF	NA	NA	agaF	2.334683392	1.662040144	2.955060449	150.628849	205.7495411	171.2766758	385.8148648	6.262005935	0.34594207	18.10131371	3.11E-73	1.46E-70	2.317261328	175.885022	6.246068068	3.37879226	FALSE	TRUE
gene-b3135	3281122	3281625	agaA	15.57087273	16.01857142	21.82093248	138.458743	165.6264568	151.6900651	579.7007685	3.107775707	0.187377407	16.58564798	8.85E-62	3.74E-59	17.80345888	151.9250883	3.093130668	4.108880313	FALSE	TRUE
gene-b3140	3285478	3286269	agaD	4.080068256	3.955739484	4.688795409	85.10455785	94.93803601	89.97637527	695.7743711	4.414053616	0.273011504	16.16801327	8.48E-59	3.26E-56	4.241534383	90.00632304	4.407368194	5.140268054	FALSE	TRUE
gene-b3131	3277856	3278665	agaR	32.25714916	36.29813598	40.55607653	370.4385918	402.15266	310.789414	1942.647391	3.314338683	0.210230235	15.7652808	5.39E-56	1.90E-53	36.37045389	361.1268886	3.311667008	3.569370102	TRUE	TRUE
gene-b3141	3286270	3287025	agaI	3.297361285	3.98471926	3.778516447	40.60130703	49.81246821	58.07276421	502.961125	3.759365525	0.242165386	15.52395902	2.39E-54	7.76E-52	3.686865664	49.49551315	3.746830992	3.086808628	TRUE	TRUE
gene-b0001	190	255	thrL	1678.656654	1566.472835	1317.912186	909.2583616	892.0054535	848.6997703	619.4607479	-0.786033731	0.154076506	-5.101580694	3.37E-07	0.000101602	1521.013892	883.3211951	-0.784023295	2.383913043	FALSE	FALSE
gene-b4698	1622817	1622914	mgrR	241.1784254	296.326494	249.2201491	125.2840331	71.72995423	120.2731492	111.2310406	-1.308080019	0.302902147	-4.318490412	1.57E-05	0.00442289	262.2416895	105.7623788	-1.310070522	2.528153895	FALSE	FALSE
gene-b4444	2976102	2976189	omrA	144.7841364	82.1576662	95.75962931	49.82887681	34.23475088	50.38130876	37.37204017	-1.270861967	0.298336358	-4.259829332	2.05E-05	0.005399714	107.567144	44.81497882	-1.263184559	1.473993521	FALSE	FALSE
gene-b1142	1201069	1201380	ymfH	173.9992186	161.0500918	134.5878493	85.53044569	98.57121114	86.30044071	189.7273257	-0.799359946	0.19043805	-4.197480216	2.70E-05	0.006704664	156.5457199	90.13403251	-0.796440222	2.239042366	FALSE	FALSE
gene-b4445	2976304	2976385	omrB	233.0671464	102.8640699	107.9918432	48.89133	58.17124337	71.21117764	59.1082129	-1.325044825	0.323684438	-4.093631545	4.25E-05	0.009963206	147.9743532	59.42458367	-1.316215355	0.962964492	FALSE	FALSE
gene-b1770	1854096	1854854	ydjF	65.68656472	54.61301869	66.6153943	48.19886386	40.85016168	37.04246102	378.1406336	-0.569768526	0.151572958	-3.759038103	0.000170568	0.037910952	62.30499257	42.03049552	-0.567911307	1.795380488	FALSE	FALSE
gene-b2253	2365910	2367067	arnB	23.67949606	49.73920655	38.11211382	87.09295912	38.48206741	139.044687	1095.305308	1.248558852	0.334637946	3.731073733	0.000190665	0.040259	37.17693881	88.20657118	1.246478155	0.784788337	FALSE	TRUE
gene-b3213	3359198	3360616	gltD	24.20388664	13.24712757	23.85498058	15.45081451	9.730807744	11.049786	284.4402531	-0.761004294	0.206661671	-3.682367846	0.000231078	0.046468617	20.4353316	12.07713608	-0.758787272	0.981923905	FALSE	FALSE
