Geneid	Start	End	gene_names	4GB00A11	4GB00A12	4GB00A13	4GB02A11	4GB02A12	4GB02A13	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M_minus	M-plus	Log2fold	Obs_log(1/p)	Rank	Exp_log(1/p)	GalNAc_gene	Fold	YmN
a4-15-1_03470	640894	641673	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF01381,similar to AA sequence:Refseq:WP_087165074.1"	133.6825676	143.2362074	139.159327	63.45993786	56.42993053	64.66023	628.7359287	-1.172567827	0.271659728	-4.316310833	1.59E-05	0.000228261	138.6927007	61.51669946	-1.172841856	4.471085797	1	3.384174139	FALSE		FALSE
a4-15-1_02935	539632	540126	ptbA	2650.394516	2645.361042	2541.191755	1224.680427	1341.984634	1409.872928	5208.195335	-0.97876989	0.177139235	-5.525426888	3.29E-08	1.44E-06	2612.315771	1325.512663	-0.978778844	4.422221441	2	3.083144143	FALSE		FALSE
a4-15-1_01745	345150	345225	inference=COORDINATES: profile:tRNAscan-SE:2.0	66.35283038	63.002392	67.0873033	9.024933426	5.515707495	14.58501429	43.88207875	-2.723984313	0.523184039	-5.20655087	1.92E-07	6.46E-06	65.48084189	9.708551737	-2.753744866	4.351323273	3	2.907052884	FALSE		FALSE
a4-15-1_09150	1759263	1759973	pepE	600.3514743	676.8105064	618.3061102	1093.476674	1075.40005	1102.380919	4122.637041	0.787066417	0.119419009	6.590796769	4.37E-11	5.29E-09	631.822697	1090.419214	0.78729122	4.325469883	4	2.782114147	FALSE		TRUE
a4-15-1_02620	476043	478175	DnaQ	26.84498462	27.36531464	26.93137439	21.00881518	20.96296394	20.05935204	798.3191449	-0.387806298	0.175410165	-2.210854196	0.027045935	0.088346117	27.04722455	20.67704372	-0.387450627	4.278077085	5	2.685204134	FALSE		FALSE
a4-15-1_10285	2001701	2002072	nusB	97.95270416	89.18080526	88.63218636	39.33447687	36.05967911	31.58518148	191.4885629	-1.365442624	0.227113566	-6.012157903	1.83E-09	1.23E-07	91.92189859	35.65977915	-1.366110828	3.933306728	6	2.606022888	FALSE		FALSE
a4-15-1_05220	964904	966103	K07133	146.9465478	151.815764	145.6887756	105.2658207	107.010854	112.0469414	1072.693118	-0.454562781	0.136744241	-3.324182262	0.000886782	0.006123363	148.1503625	108.107872	-0.454590578	3.881271511	7	2.539076099	FALSE		FALSE
a4-15-1_03855	707626	708123	"inference=ab initio prediction:Prodigal:2.6.3,similar to AA sequence:Refseq:WP_128674204.1"	33.64489935	30.67586346	32.07976538	16.75713877	15.15158204	17.80660379	68.58511553	-0.950227041	0.233107461	-4.076347608	4.57E-05	0.00055565	32.1335094	16.57177487	-0.955350424	3.757255739	8	2.481084152	FALSE		FALSE
a4-15-1_05330	988995	989225	inference=ab initio prediction:Prodigal:2.6.3	42.25232601	46.88489695	51.99185333	2.474368472	7.258766574	7.677652542	192.0126531	-3.032948129	0.402817679	-7.529332218	5.10E-14	1.37E-11	47.04302543	5.803595863	-3.018961881	3.642595799	9	2.429931629	FALSE		FALSE
a4-15-1_01905	358177	358674	RutF	114.9806269	110.3415387	128.0915454	40.63032277	50.7858583	47.85524768	337.7571574	-1.346789701	0.148619441	-9.062002192	1.28E-19	1.03E-16	117.8045703	46.42380958	-1.343458689	3.512393466	10	2.384174139	FALSE		FALSE
a4-15-1_01460	291283	291819	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF13673,similar to AA sequence:Refseq:WP_006057581.1"	116.0207957	100.2049218	111.6150607	38.74391035	48.65874297	47.26956958	243.0068022	-1.284034481	0.159944216	-8.028014496	9.91E-16	3.99E-13	109.2802594	44.89074097	-1.283542998	3.473751279	11	2.342781454	FALSE		FALSE
