Otu.chr	Otu.pos	Otu.logp	Otu.MarkerName	Otu.P.value
1	272905215	13.18615225	1_272905215	6.51E-14
1	272905259	13.18615225	1_272905259	6.51E-14
1	272905284	13.18615225	1_272905284	6.51E-14
1	272907239	12.87354389	1_272907239	1.34E-13
1	272904923	12.85855023	1_272904923	1.39E-13
1	272907278	12.70818731	1_272907278	1.96E-13
1	272907291	12.70818731	1_272907291	1.96E-13
1	272904910	12.68423951	1_272904910	2.07E-13
1	272907960	12.65169514	1_272907960	2.23E-13
1	272907257	12.59431221	1_272907257	2.55E-13
1	272907260	12.59431221	1_272907260	2.55E-13
1	272907255	12.58419227	1_272907255	2.61E-13
1	272908083	12.55626776	1_272908083	2.78E-13
1	272906111	12.48704892	1_272906111	3.26E-13
1	272905550	12.46724562	1_272905550	3.41E-13
1	272906016	12.4621809	1_272906016	3.45E-13
1	272907913	12.43074317	1_272907913	3.71E-13
1	272907148	12.28124927	1_272907148	5.23E-13
1	272907163	12.28124927	1_272907163	5.23E-13
1	272906246	12.22446237	1_272906246	5.96E-13
1	272908094	12.22105327	1_272908094	6.01E-13
1	272907165	12.18435585	1_272907165	6.54E-13
1	272906491	12.18269912	1_272906491	6.57E-13
1	272906783	12.14448084	1_272906783	7.17E-13
1	272908159	12.13035766	1_272908159	7.41E-13
1	272906463	12.04638526	1_272906463	8.99E-13
1	272907406	12.00749066	1_272907406	9.83E-13
1	272907430	12.00749066	1_272907430	9.83E-13
1	272907135	11.95467702	1_272907135	1.11E-12
1	272907446	11.89008414	1_272907446	1.29E-12
1	272907037	11.88173527	1_272907037	1.31E-12
1	272907051	11.88173527	1_272907051	1.31E-12
1	272907110	11.88173527	1_272907110	1.31E-12
1	272907125	11.88173527	1_272907125	1.31E-12
1	272907601	11.63004239	1_272907601	2.34E-12
1	272905713	11.48505399	1_272905713	3.27E-12
1	272907222	11.47314401	1_272907222	3.36E-12
1	272905110	10.61207653	1_272905110	2.44E-11
1	272905494	10.42678017	1_272905494	3.74E-11
1	272905960	10.33743103	1_272905960	4.60E-11
1	272906950	10.11815903	1_272906950	7.62E-11
1	272904203	10.00828672	1_272904203	9.81E-11
1	272909677	9.519561853	1_272909677	3.02E-10
1	272909621	9.475733731	1_272909621	3.34E-10
1	272909688	9.475733731	1_272909688	3.34E-10
1	272909706	9.475733731	1_272909706	3.34E-10
1	272909745	9.475733731	1_272909745	3.34E-10
1	272909756	9.475733731	1_272909756	3.34E-10
1	272909777	9.391367011	1_272909777	4.06E-10
1	272909942	9.308476478	1_272909942	4.92E-10
1	272909798	9.261536561	1_272909798	5.48E-10
1	272909885	9.225921199	1_272909885	5.94E-10
1	272909468	9.129128105	1_272909468	7.43E-10
1	272909483	9.073143291	1_272909483	8.45E-10
1	272909499	9.073143291	1_272909499	8.45E-10
1	272909521	9.073143291	1_272909521	8.45E-10
1	272908568	9.022367835	1_272908568	9.50E-10
1	272908696	8.902048929	1_272908696	1.25E-09
1	272908647	8.817300097	1_272908647	1.52E-09
1	272907325	8.803271277	1_272907325	1.57E-09
1	272909024	8.775466937	1_272909024	1.68E-09
1	272907726	8.765482716	1_272907726	1.72E-09
1	272908832	8.704652852	1_272908832	1.97E-09
1	272908930	8.704652852	1_272908930	1.97E-09
1	272909385	8.584025589	1_272909385	2.61E-09
1	272909295	8.571865206	1_272909295	2.68E-09
1	272909234	8.55642412	1_272909234	2.78E-09
1	272909027	8.552686891	1_272909027	2.80E-09
1	272909895	8.450751443	1_272909895	3.54E-09
1	272906939	8.417709317	1_272906939	3.82E-09
1	272910803	8.361510743	1_272910803	4.35E-09
1	272904241	8.196884445	1_272904241	6.36E-09
1	272907456	8.135666945	1_272907456	7.32E-09
1	272909109	8.073863429	1_272909109	8.44E-09
1	272909130	7.97510404	1_272909130	1.06E-08
1	272907707	7.906928694	1_272907707	1.24E-08
1	272902759	7.804377056	1_272902759	1.57E-08
1	272909907	7.745451923	1_272909907	1.80E-08
1	272921691	7.721475035	1_272921691	1.90E-08
1	272902738	7.683191248	1_272902738	2.07E-08
1	272906816	7.675100503	1_272906816	2.11E-08
1	272906796	7.590404981	1_272906796	2.57E-08
1	272906875	7.445026542	1_272906875	3.59E-08
1	272906965	7.34275287	1_272906965	4.54E-08
1	272922389	7.282662417	1_272922389	5.22E-08
1	272922391	7.236572006	1_272922391	5.80E-08
1	273206130	7.087246696	1_273206130	8.18E-08
1	272876004	7.06833876	1_272876004	8.54E-08
1	273206242	7.05596172	1_273206242	8.79E-08
1	273206267	7.05596172	1_273206267	8.79E-08
1	273206280	7.05596172	1_273206280	8.79E-08
1	272917676	6.915066425	1_272917676	1.22E-07
1	272911008	6.871277716	1_272911008	1.35E-07
1	272903137	6.8569852	1_272903137	1.39E-07
1	273221411	6.807711387	1_273221411	1.56E-07
1	272921670	6.765482716	1_272921670	1.72E-07
1	272937277	6.751291264	1_272937277	1.77E-07
1	272913285	6.747389659	1_272913285	1.79E-07
1	272917702	6.740884156	1_272917702	1.82E-07
1	272913295	6.725611204	1_272913295	1.88E-07
